Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
1	61.592473069222166	13405696
10	57.12560249192471	11860477
100	62.80370055412804	11967914
107	64.17553843237212	11197982
108	53.91657163756327	13034831
109	60.629750095793845	14316629
11	62.75007340101163	14073690
110	65.39986239442605	14540424
117	61.140611496207306	14434753
118	62.80688033056081	14051561
119	67.69593098257575	15575471
12	59.18755223205362	12779272
120	62.14921541083617	13482946
121	43.544878274143535	9544176
127	60.9830873935849	14885585
128	60.05382830372143	6136550
129	15.031104567554692	2515359
13	54.984483488459	10686291
131	56.83829599001656	5489213
137	60.18989445540412	5148082
138	62.3053303710337	5390836
139	62.4241812814742	6311375
140	61.76467497096265	6053129
147	60.20551377151766	5362531
148	55.27064835576445	14323619
149	33.63927020355806	44389469
150	54.236091390619364	15603794
18	57.21928028088167	10687931
19	61.49765817776056	11366507
19-G	56.35778739779403	13090633
19-S	59.29048297683652	15131571
2	65.54533948043428	13267373
20	52.792715780445185	9931863
20-G	57.20884508099539	14028761
20-S	55.77937675840072	9790095
21	56.66862490363399	10539436
28	61.8384802469508	12141387
29	54.82027829082089	10893383
3	56.34223707398084	12401496
30	60.256947986210484	12412583
31	63.007364318123436	12177846
37	62.96768855473758	10420014
38	52.618260876106504	10772003
39	59.86031606022079	11004851
4	59.28944874900852	12729048
40	48.856496279435795	9365762
41	37.51055366057447	7880704
47	61.337508937508936	11795663
48	59.19955203249183	12264711
49	60.02753406068323	12438016
5	58.84062146090567	12504234
50	61.29175666179418	11899474
57	62.95392615402777	12841119
57-G	60.05838611625134	17575987
57-S	21.80472943745747	3518494
58	56.27499342636308	11529135
58-G	59.783628440439315	17777081
58-S	50.634120365441994	8304815
59	63.60455364757187	12115971
60	59.21405964240572	12672906
67	60.2181798276932	13025276
68	58.7288574152127	12607140
69	60.48315886167042	10914910
70	59.12513697216936	9439282
78	58.362899200525874	11421540
79	62.773586902425905	12450490
80	58.88680436439488	9162573
83	64.24993047488393	10967059
88	47.40024316518853	10148457
90	54.23426052196707	10471634
91	59.05799355207907	12551443
92	61.23991706836798	9436359
97	61.77300807486162	11510555
98	49.54947701129161	12492375
99	55.59985614232542	10090536
RESUB-116	62.675353030895394	10527517
RESUB-156	64.42391383245206	11050096
RESUB-36	66.78144081965415	10327659
RESUB-76	60.88469276909023	9273736
RESUB-94	63.4698908999402	11117871
