Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
1	21765153	13405696	2061405	0	2008580	0	116010	0	0	2216027	0	0	1403970	0	553465	61.592473069222166
10	20762104	11860477	2082231	0	2330584	0	110166	0	0	2316211	0	0	1557283	0	505152	57.12560249192471
100	19056065	11967914	1368612	0	2051741	0	149789	0	0	2068021	0	0	1007194	0	442794	62.80370055412804
107	17448988	11197982	1633567	0	1401637	0	83277	0	0	1746403	0	0	990449	0	395673	64.17553843237212
108	24175927	13034831	2915575	0	3052879	0	179253	0	0	2671396	0	0	1712183	0	609810	53.91657163756327
109	23613208	14316629	1954300	0	2834325	0	134650	0	0	2570569	0	0	1256884	0	545851	60.629750095793845
11	22428165	14073690	1722491	0	2177374	0	130804	0	0	2537946	0	0	1296283	0	489577	62.75007340101163
110	22233111	14540424	1655037	0	1941788	0	151983	0	0	2537977	0	0	951231	0	454671	65.39986239442605
117	23609108	14434753	2087433	0	2393893	0	176914	0	0	2774603	0	0	1182314	0	559198	61.140611496207306
118	22372646	14051561	1527976	0	1989027	0	173262	0	0	3071572	0	0	1101104	0	458144	62.80688033056081
119	23007987	15575471	1687546	0	1758394	0	139781	0	0	2489883	0	0	854668	0	502244	67.69593098257575
12	21591148	12779272	2008882	0	2069664	0	135671	0	0	2532236	0	0	1550578	0	514845	59.18755223205362
120	21694475	13482946	1660493	0	2029518	0	199394	0	0	2556082	0	0	1274506	0	491536	62.14921541083617
121	21918022	9544176	4844313	0	4023307	0	226562	0	0	1694011	0	0	1154054	0	431599	43.544878274143535
127	24409366	14885585	2117956	0	2542218	0	188446	0	0	2473567	0	0	1612123	0	589471	60.9830873935849
128	10218416	6136550	1064418	0	1118900	0	90488	0	0	870652	0	0	685606	0	251802	60.05382830372143
129	16734359	2515359	3612536	0	9475554	0	57906	0	0	436480	0	0	497684	0	138840	15.031104567554692
13	19435103	10686291	2309675	0	2207477	0	133517	0	0	2087162	0	0	1574221	0	436760	54.984483488459
131	9657596	5489213	979113	0	1346693	0	91010	0	0	954778	0	0	573138	0	223651	56.83829599001656
137	8553067	5148082	943509	0	989054	0	61794	0	0	744728	0	0	480716	0	185184	60.18989445540412
138	8652287	5390836	831863	0	878706	0	59916	0	0	742419	0	0	566168	0	182379	62.3053303710337
139	10110465	6311375	805188	0	1013450	0	80887	0	0	1138666	0	0	521306	0	239593	62.4241812814742
140	9800309	6053129	847997	0	1103516	0	80546	0	0	937444	0	0	536878	0	240799	61.76467497096265
147	8907043	5362531	923010	0	936302	0	56653	0	0	768291	0	0	601607	0	258649	60.20551377151766
148	25915417	14323619	3436467	0	2390549	0	162100	0	0	2788485	0	0	2087970	0	726227	55.27064835576445
149	131957289	44389469	24763359	0	46653602	0	695199	0	0	7503373	0	0	5636011	0	2316276	33.63927020355806
150	28770130	15603794	4429918	0	2832144	0	156063	0	0	3027267	0	0	1860497	0	860447	54.236091390619364
18	18678898	10687931	1956816	0	2061251	0	115179	0	0	2083364	0	0	1323917	0	450440	57.21928028088167
19	18482829	11366507	1603042	0	1738500	0	103030	0	0	1867081	0	0	1343845	0	460824	61.49765817776056
19-G	23227727	13090633	3194939	0	2269691	0	264209	0	0	1943562	0	0	1946050	0	518643	56.35778739779403
19-S	25521079	15131571	2343278	0	2253092	0	303326	0	0	3218949	0	0	1802459	0	468404	59.29048297683652
2	20241520	13267373	1590524	0	1712342	0	128332	0	0	2137023	0	0	1018232	0	387694	65.54533948043428
20	18812942	9931863	2080686	0	2882599	0	118491	0	0	1975883	0	0	1406346	0	417074	52.792715780445185
20-G	24522014	14028761	3200382	0	2334869	0	290336	0	0	2102121	0	0	2050316	0	515229	57.20884508099539
20-S	17551460	9790095	1629552	0	1703070	0	251948	0	0	2275791	0	0	1521295	0	379709	55.77937675840072
21	18598362	10539436	1825700	0	2347195	0	134434	0	0	2121478	0	0	1163328	0	466791	56.66862490363399
28	19634032	12141387	1652117	0	2029092	0	131547	0	0	1905614	0	0	1296529	0	477746	61.8384802469508
29	19871083	10893383	2322135	0	2348300	0	154027	0	0	2257087	0	0	1464583	0	431568	54.82027829082089
3	22011011	12401496	2295902	0	2383731	0	145140	0	0	2844144	0	0	1456650	0	483948	56.34223707398084
30	20599422	12412583	1850732	0	2137533	0	138537	0	0	2163476	0	0	1426580	0	469981	60.256947986210484
31	19327655	12177846	1311844	0	1689465	0	137935	0	0	1894185	0	0	1698849	0	417531	63.007364318123436
37	16548192	10420014	1533740	0	1319073	0	79620	0	0	1396695	0	0	1230802	0	568248	62.96768855473758
38	20471986	10772003	1935168	0	3674681	0	112405	0	0	1826009	0	0	1529454	0	622266	52.618260876106504
39	18384218	11004851	1874019	0	1585442	0	82656	0	0	1673664	0	0	1519085	0	644501	59.86031606022079
4	21469331	12729048	2169000	0	2466352	0	169203	0	0	2035850	0	0	1461535	0	438343	59.28944874900852
40	19169942	9365762	2256426	0	4073090	0	149245	0	0	1578247	0	0	1142899	0	604273	48.856496279435795
41	21009298	7880704	2119314	0	6826321	0	141003	0	0	1434755	0	0	2052040	0	555161	37.51055366057447
47	19230750	11795663	1711363	0	1674952	0	123033	0	0	2101970	0	0	1254235	0	569534	61.337508937508936
48	20717574	12264711	2555260	0	2217910	0	90719	0	0	1614377	0	0	1311434	0	663163	59.19955203249183
49	20720518	12438016	1871467	0	2077233	0	147004	0	0	1996551	0	0	1540874	0	649373	60.02753406068323
5	21251023	12504234	1900041	0	2304248	0	138375	0	0	2599841	0	0	1283354	0	520930	58.84062146090567
50	19414477	11899474	1782797	0	1812890	0	117492	0	0	1945393	0	0	1352258	0	504173	61.29175666179418
57	20397646	12841119	1632490	0	1807433	0	149829	0	0	2130025	0	0	1271734	0	565016	62.95392615402777
57-G	29264834	17575987	3155990	0	2767426	0	276284	0	0	2623086	0	0	2151992	0	714069	60.05838611625134
57-S	16136380	3518494	4435855	0	4798120	0	125112	0	0	1266557	0	0	1814595	0	177647	21.80472943745747
58	20487137	11529135	2369256	0	2299792	0	145334	0	0	2023392	0	0	1595171	0	525057	56.27499342636308
58-G	29735701	17777081	3186643	0	2994629	0	308252	0	0	2444337	0	0	2245857	0	778902	59.783628440439315
58-S	16401618	8304815	2540263	0	2049397	0	107970	0	0	1276158	0	0	1591632	0	531383	50.634120365441994
59	19048905	12115971	1675935	0	1879775	0	121922	0	0	1661954	0	0	1110176	0	483172	63.60455364757187
60	21401853	12672906	1971995	0	2257511	0	186689	0	0	2343219	0	0	1419426	0	550107	59.21405964240572
67	21630139	13025276	1976715	0	2594994	0	178702	0	0	2227411	0	0	1105313	0	521728	60.2181798276932
68	21466687	12607140	1890919	0	2254911	0	177674	0	0	2354583	0	0	1594317	0	587143	58.7288574152127
69	18046197	10914910	1782743	0	1624992	0	107282	0	0	1779593	0	0	1324690	0	511987	60.48315886167042
70	15964922	9439282	1513511	0	1578322	0	117195	0	0	1652149	0	0	1191422	0	473041	59.12513697216936
78	19569864	11421540	1738581	0	1914648	0	84971	0	0	2563132	0	0	1275623	0	571369	58.362899200525874
79	19833963	12450490	1627383	0	1706237	0	122309	0	0	2403236	0	0	1085780	0	438528	62.773586902425905
80	15559637	9162573	1468104	0	1589394	0	96056	0	0	1830531	0	0	976182	0	436797	58.88680436439488
83	17069371	10967059	1348444	0	1332346	0	73156	0	0	1777004	0	0	1084642	0	486720	64.24993047488393
88	21410137	10148457	3842592	0	2536359	0	110404	0	0	2435769	0	0	1781645	0	554911	47.40024316518853
90	19308153	10471634	2376849	0	2110587	0	83538	0	0	2225927	0	0	1457549	0	582069	54.23426052196707
91	21252742	12551443	1996731	0	2214553	0	167103	0	0	2423217	0	0	1422129	0	477566	59.05799355207907
92	15408837	9436359	2105772	0	1272325	0	94217	0	0	1517577	0	0	675063	0	307524	61.23991706836798
97	18633632	11510555	1571594	0	1584770	0	83789	0	0	1791109	0	0	1489518	0	602297	61.77300807486162
98	25211921	12492375	3098384	0	4270485	0	225331	0	0	2453653	0	0	2060877	0	610816	49.54947701129161
99	18148493	10090536	1932987	0	2337312	0	151066	0	0	2057259	0	0	1181669	0	397664	55.59985614232542
