Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
MHW045-RG	Unknown Library	1156219.0	41236916.0	924774.0	0.0	388062.0	7285116.0	5884421.0	0.178863	434271606.0
MHW046-RG	Unknown Library	1655550.0	49498088.0	1098682.0	0.0	607287.0	10790207.0	9141315.0	0.22044	480321823.0
MHW047-RG	Unknown Library	1632261.0	47988330.0	1670419.0	0.0	526416.0	5989332.0	4471337.0	0.128114	609168250.0
MHW048-RG	Unknown Library	1602960.0	44737218.0	1527027.0	0.0	480319.0	5151957.0	3602792.0	0.118407	532314561.0
MHW049-RG	Unknown Library	1381959.0	40844772.0	1252709.0	0.0	409026.0	5101138.0	3689005.0	0.127737	476352293.0
MHW050-RG	Unknown Library	1661461.0	39575667.0	1508477.0	0.0	489418.0	5069757.0	3728971.0	0.131525	467166255.0
MHW051-RG	Unknown Library	2237627.0	46802507.0	2628420.0	0.0	761134.0	5969411.0	4823496.0	0.132508	754863891.0
MHW052-RG	Unknown Library	1952513.0	44526356.0	1513943.0	0.0	599999.0	6213436.0	4949566.0	0.143144	606389549.0
MHW053-RG	Unknown Library	1765807.0	45513529.0	1525916.0	0.0	531721.0	5818022.0	4450345.0	0.131128	602676174.0
MHW054-RG	Unknown Library	1812165.0	48600927.0	1306435.0	0.0	559018.0	7147918.0	5637070.0	0.150028	596472953.0
MHW055-RG	Unknown Library	1379538.0	43678748.0	1153016.0	0.0	391923.0	4934285.0	3608724.0	0.115628	592201298.0
MHW056-RG	Unknown Library	2097963.0	47930440.0	1636338.0	0.0	649321.0	6085039.0	4890922.0	0.130865	761222088.0
MHW057-RG	Unknown Library	1710058.0	44879831.0	1329987.0	0.0	499546.0	5386502.0	4203995.0	0.123238	685957673.0
MHW058-RG	Unknown Library	2215800.0	45570339.0	1881924.0	0.0	698314.0	5746240.0	4498181.0	0.130583	662057072.0
MHW059-RG	Unknown Library	2291523.0	47806288.0	2685716.0	0.0	761999.0	5772619.0	4462200.0	0.125707	702313565.0
MHW060-RG	Unknown Library	1885918.0	47107460.0	1341694.0	0.0	568214.0	6044301.0	4560476.0	0.131703	595726708.0
MHW061-RG	Unknown Library	2199065.0	46507277.0	2094601.0	0.0	723519.0	5868314.0	4630216.0	0.130865	694189760.0
MHW062-RG	Unknown Library	1963629.0	50050537.0	1785996.0	0.0	635960.0	6188015.0	4769197.0	0.127488	707399260.0
MHW063-RG	Unknown Library	1935525.0	46058257.0	1683516.0	0.0	611076.0	5751920.0	4579375.0	0.128811	719767104.0
MHW064-RG	Unknown Library	1845388.0	46336630.0	1414639.0	0.0	542426.0	5327747.0	3951537.0	0.118473	638490765.0
MHW065-RG	Unknown Library	1829531.0	49118452.0	1283784.0	0.0	544872.0	6122252.0	4582232.0	0.127809	629044412.0
MHW066-RG	Unknown Library	2307622.0	45802800.0	1990119.0	0.0	733231.0	5959930.0	4671203.0	0.134732	642604027.0
MHW067-RG	Unknown Library	2193910.0	41957043.0	2037294.0	0.0	742823.0	6065176.0	5121236.0	0.1495	706398590.0
MHW068-RG	Unknown Library	1784390.0	41114505.0	1390846.0	0.0	520817.0	5422315.0	4438842.0	0.135281	671573532.0
MHW069-RG	Unknown Library	1707861.0	35456344.0	1347945.0	0.0	502146.0	4725501.0	3772820.0	0.137057	516238036.0
MHW070-RG	Unknown Library	1764335.0	32471932.0	1440976.0	0.0	494251.0	3879608.0	2952243.0	0.123725	459939989.0
MHW071-RG	Unknown Library	2604084.0	30804579.0	4291441.0	0.0	901654.0	3795172.0	2817475.0	0.132247	391188586.0
MHW072-RG	Unknown Library	2246297.0	35375778.0	2203508.0	0.0	750057.0	5078746.0	4178293.0	0.149423	529990822.0
MHW073-RG	Unknown Library	1229052.0	31757239.0	993717.0	0.0	340759.0	4297862.0	3485575.0	0.138029	482528173.0
MHW074-RG	Unknown Library	1916715.0	43124558.0	1679464.0	0.0	641114.0	6498803.0	5234237.0	0.154694	554954151.0
MHW075-RG	Unknown Library	1358504.0	32844629.0	996592.0	0.0	389254.0	4931483.0	4130975.0	0.152909	505352833.0
MHW076-RG	Unknown Library	1669086.0	38506010.0	1418193.0	0.0	511527.0	5430629.0	4222674.0	0.144543	475006682.0
MHW077-RG	Unknown Library	1257833.0	32834468.0	983838.0	0.0	345202.0	4034544.0	3024879.0	0.125724	430059030.0
MHW078-RG	Unknown Library	1565811.0	31999722.0	1012684.0	0.0	426281.0	4016442.0	3018225.0	0.129019	410996718.0
MHW079-RG	Unknown Library	1977982.0	38242374.0	1741886.0	0.0	657190.0	5595464.0	4563346.0	0.151003	538205306.0
MHW080-RG	Unknown Library	1835971.0	32593480.0	1542593.0	0.0	562048.0	4784987.0	3936501.0	0.151172	474333774.0
MHW081-RG	Unknown Library	1451166.0	32821973.0	1952062.0	0.0	430348.0	3806507.0	2941718.0	0.11988	506203531.0
MHW082-RG	Unknown Library	1627523.0	35752517.0	1640343.0	0.0	497805.0	4834611.0	3863442.0	0.139022	512866512.0
MHW083-RG	Unknown Library	1461407.0	35919724.0	1505099.0	0.0	433074.0	4681589.0	3674106.0	0.133644	505223035.0
MHW084-RG	Unknown Library	1919498.0	38243299.0	1910824.0	0.0	621483.0	5273024.0	4145922.0	0.142432	504331732.0
MHW085-RG	Unknown Library	1236586.0	32154212.0	1087346.0	0.0	330596.0	3653499.0	2564765.0	0.116524	392163893.0
MHW086-RG	Unknown Library	1907927.0	33986004.0	1802323.0	0.0	576151.0	4035585.0	3060379.0	0.123745	479991352.0
MHW087-RG	Unknown Library	2175016.0	41157856.0	2853397.0	0.0	711615.0	5032276.0	3801931.0	0.127543	554581628.0
MHW088-RG	Unknown Library	2354605.0	36563421.0	2978646.0	0.0	824804.0	5190069.0	4248236.0	0.148446	543557467.0
MHW089-RG	Unknown Library	2097682.0	35604171.0	4303552.0	0.0	722710.0	4384407.0	3484185.0	0.129478	562264274.0
MHW090-RG	Unknown Library	1659775.0	32346587.0	2775418.0	0.0	530607.0	4065977.0	3287648.0	0.130553	532728042.0
MHW091-RG	Unknown Library	659049.0	32703865.0	895335.0	0.0	205889.0	4147628.0	2595455.0	0.128675	281890419.0
MHW092-RG	Unknown Library	687110.0	33342629.0	1075270.0	0.0	223628.0	4293547.0	2590499.0	0.130776	267299115.0
MHW093-RG	Unknown Library	738211.0	38319003.0	1348084.0	0.0	266037.0	4566222.0	2144600.0	0.121465	257990513.0
MHW094-RG	Unknown Library	848669.0	40834675.0	1462545.0	0.0	320210.0	5212001.0	2636373.0	0.130204	270372055.0
MHW095-RG	Unknown Library	826745.0	40965004.0	1367168.0	0.0	294148.0	5284992.0	2871645.0	0.131278	287804799.0
MHW096-RG	Unknown Library	1023093.0	48713716.0	1391357.0	0.0	383688.0	7187214.0	4403708.0	0.149904	337750491.0
MHW097-RG	Unknown Library	1234790.0	32441120.0	3878437.0	0.0	444233.0	3033402.0	685085.0	0.098477	203995480.0
MHW098-RG	Unknown Library	1447357.0	29009962.0	9547393.0	0.0	459057.0	2043674.0	921581.0	0.076452	342129544.0
MHW099-RG	Unknown Library	1108083.0	31301602.0	6462474.0	0.0	345768.0	2246403.0	1166163.0	0.075945	410237608.0
MHW100-RG	Unknown Library	1228473.0	33532509.0	8616598.0	0.0	422350.0	2601673.0	1180982.0	0.082375	357484706.0
MHW101-RG	Unknown Library	1456380.0	32535073.0	9567237.0	0.0	484293.0	2409577.0	1443481.0	0.079719	489887474.0
MHW102-RG	Unknown Library	1616384.0	36062069.0	10894301.0	0.0	580447.0	3005210.0	1636496.0	0.089379	421379075.0
MHW103-RG	Unknown Library	1844739.0	31066529.0	7404366.0	0.0	624780.0	2946512.0	2190409.0	0.101876	541731969.0
MHW104-RG	Unknown Library	1486381.0	30117420.0	5101664.0	0.0	427441.0	2262735.0	1034803.0	0.080246	334635608.0
MHW105-RG	Unknown Library	1298523.0	31963414.0	2908222.0	0.0	382936.0	2767715.0	1421111.0	0.090737	336107342.0
MHW106-RG	Unknown Library	2441744.0	31485852.0	10493698.0	0.0	888638.0	3329644.0	2502207.0	0.115388	497914844.0
MHW107-RG	Unknown Library	1045776.0	31774680.0	2301272.0	0.0	315750.0	3168669.0	2067562.0	0.102997	390774134.0
MHW108-RG	Unknown Library	1220749.0	34083113.0	4967010.0	0.0	389162.0	2856866.0	1657326.0	0.087954	427387942.0
MHW109-RG	Unknown Library	1174890.0	32104521.0	3943261.0	0.0	377086.0	2856068.0	1715117.0	0.09313	394518717.0
MHW110-RG	Unknown Library	1197469.0	36773364.0	4637453.0	0.0	407489.0	3423934.0	1470231.0	0.097069	307081698.0
MHW111-RG	Unknown Library	1376167.0	34094316.0	2230298.0	0.0	423910.0	3677083.0	2395458.0	0.111811	381370141.0
MHW112-RG	Unknown Library	1436976.0	27870708.0	2863153.0	0.0	408681.0	2466660.0	1226698.0	0.093427	277308102.0
MHW113-RG	Unknown Library	1130766.0	30843849.0	2788496.0	0.0	359132.0	2882815.0	1140017.0	0.097499	243131248.0
MHW114-RG	Unknown Library	1933449.0	31345411.0	15044823.0	0.0	698748.0	2764597.0	1896980.0	0.096372	489900383.0
MHW115-RG	Unknown Library	1288121.0	48236952.0	2282816.0	0.0	446000.0	4992746.0	2650880.0	0.106703	428353355.0
MHW116-RG	Unknown Library	975314.0	34045833.0	1450284.0	0.0	285719.0	3228478.0	1803117.0	0.097625	353848313.0
MHW117-RG	Unknown Library	1235102.0	36854924.0	2232040.0	0.0	376627.0	3331287.0	1659776.0	0.093925	358705535.0
MHW118-RG	Unknown Library	1115464.0	33466441.0	2838068.0	0.0	340408.0	2989554.0	1741518.0	0.092868	392576034.0
MHW119-RG	Unknown Library	1375746.0	39136696.0	2159944.0	0.0	455812.0	4398410.0	2333600.0	0.116167	315602524.0
MHW120-RG	Unknown Library	843697.0	40152974.0	1310247.0	0.0	309540.0	5113373.0	2740502.0	0.129838	282329303.0
MHW121-RG	Unknown Library	1216428.0	49983997.0	1389123.0	0.0	461475.0	7992380.0	5465163.0	0.162537	377131992.0
MHW122-RG	Unknown Library	833720.0	41707713.0	1179330.0	0.0	289470.0	5440832.0	3320837.0	0.132596	334619722.0
MHW123-RG	Unknown Library	1129399.0	45670565.0	1356667.0	0.0	427840.0	7411583.0	4999845.0	0.164928	329233210.0
MHW124-RG	Unknown Library	879121.0	45289235.0	1771443.0	0.0	346023.0	5585374.0	2445487.0	0.125925	277838543.0
MHW125-RG	Unknown Library	941487.0	42651065.0	1084400.0	0.0	319962.0	6062601.0	4030757.0	0.144302	354048468.0
MHW126-RG	Unknown Library	658061.0	36786508.0	1276653.0	0.0	259989.0	4772141.0	1596593.0	0.132078	183063534.0
MHW127-RG	Unknown Library	900677.0	42139651.0	1542394.0	0.0	345498.0	5627850.0	2992362.0	0.136196	277544042.0
MHW128-RG	Unknown Library	1005157.0	47643055.0	1292387.0	0.0	379732.0	7293235.0	4943114.0	0.155426	373545142.0
MHW129-RG	Unknown Library	1274233.0	56636053.0	1485565.0	0.0	517429.0	10012201.0	7295505.0	0.179332	431458368.0
MHW130-RG	Unknown Library	858028.0	45399856.0	1646897.0	0.0	359044.0	6546889.0	3278856.0	0.146772	257214603.0
MHW131-RG	Unknown Library	1043377.0	53443192.0	1853607.0	0.0	466704.0	8626748.0	4322154.0	0.164183	263642891.0
MHW132-RG	Unknown Library	858771.0	43676122.0	1449305.0	0.0	335355.0	6266968.0	3498335.0	0.145892	277973224.0
MHW133-RG	Unknown Library	1039751.0	47964864.0	1438703.0	0.0	409048.0	7300056.0	4544394.0	0.154782	327452269.0
MHW134-RG	Unknown Library	711999.0	39283525.0	1003551.0	0.0	237221.0	5227208.0	3396988.0	0.134861	339760801.0
MHW135-RG	Unknown Library	1049375.0	45894167.0	1558771.0	0.0	424878.0	7682716.0	5006646.0	0.170085	298575779.0
MHW136-RG	Unknown Library	1689713.0	44671017.0	1413356.0	0.0	493439.0	5350371.0	4124937.0	0.12297	657191917.0
MHW137-RG	Unknown Library	1829826.0	47279688.0	1668764.0	0.0	576979.0	5404174.0	3881100.0	0.118118	603748923.0
MHW138-RG	Unknown Library	2046023.0	52975049.0	1793060.0	0.0	653476.0	6118744.0	4453242.0	0.119365	690535443.0
MHW139-RG	Unknown Library	2262641.0	48399052.0	2931525.0	0.0	756752.0	5535170.0	4007573.0	0.119392	630117452.0
MHW140-RG	Unknown Library	2260465.0	42010411.0	2599308.0	0.0	791902.0	6147949.0	5127287.0	0.151688	654061061.0
MHW141-RG	Unknown Library	1896116.0	43235268.0	1607844.0	0.0	601686.0	6035908.0	4871236.0	0.14342	618997480.0
MHW142-RG	Unknown Library	2035580.0	43972125.0	2120883.0	0.0	704260.0	6183639.0	4975432.0	0.145272	616271224.0
MHW143-RG	Unknown Library	1942094.0	48505412.0	2197476.0	0.0	664196.0	6425146.0	5071279.0	0.136575	682162316.0
MHW144-RG	Unknown Library	1712206.0	41281277.0	1709397.0	0.0	531448.0	5204325.0	4134929.0	0.129815	632711989.0
MHW145-RG	Unknown Library	2571822.0	45223920.0	3599583.0	0.0	959771.0	5982874.0	4833624.0	0.138955	696228535.0
MHW146-RG	Unknown Library	1650889.0	42460701.0	2068375.0	0.0	546137.0	5192234.0	3778045.0	0.12626	516073698.0
MHW147-RG	Unknown Library	2327676.0	42827215.0	5522770.0	0.0	860929.0	5228352.0	3992766.0	0.128636	597268417.0
MHW148-RG	Unknown Library	2425860.0	48214082.0	5775245.0	0.0	949134.0	6216466.0	4838200.0	0.135372	668012106.0
MHW149-RG	Unknown Library	2353260.0	50343083.0	5644353.0	0.0	902187.0	7678363.0	5690372.0	0.157793	486479886.0
MHW150-RG	Unknown Library	1863981.0	49160274.0	3018602.0	0.0	661107.0	6409356.0	4725734.0	0.13455	571456325.0
MHW151-RG	Unknown Library	2262722.0	52380851.0	3553386.0	0.0	857945.0	7489725.0	5942446.0	0.147979	681309739.0
MHW152-RG	Unknown Library	1672792.0	47256217.0	2151710.0	0.0	575477.0	5967154.0	4346213.0	0.130059	553567571.0
MHW153-RG	Unknown Library	1997662.0	49148345.0	3260162.0	0.0	705394.0	5973867.0	4533334.0	0.12616	675936724.0
MHW154-RG	Unknown Library	1623397.0	44038207.0	1875923.0	0.0	532536.0	5752843.0	4207478.0	0.134206	499940351.0
MHW155-RG	Unknown Library	2842082.0	49350106.0	8175294.0	0.0	1113929.0	6905439.0	5427913.0	0.146981	638109887.0
MHW156-RG	Unknown Library	1205866.0	40211708.0	901457.0	0.0	443132.0	8798944.0	7307275.0	0.221012	351863125.0
MHW157-RG	Unknown Library	1278440.0	45113731.0	997548.0	0.0	473444.0	9367638.0	7759789.0	0.209918	421365217.0
MHW158-RG	Unknown Library	1285104.0	52108826.0	1281742.0	0.0	499948.0	10199524.0	7680149.0	0.19809	376791516.0
MHW159-RG	Unknown Library	898917.0	39989601.0	952664.0	0.0	315300.0	6511596.0	4739791.0	0.164921	338793892.0
MHW160-RG	Unknown Library	1139635.0	41127065.0	969439.0	0.0	396698.0	7981081.0	6539702.0	0.196164	403368542.0
MHW161-RG	Unknown Library	1071526.0	40810249.0	995453.0	0.0	381344.0	7498341.0	5940196.0	0.185967	378470065.0
MHW162-RG	Unknown Library	1074170.0	41245187.0	910486.0	0.0	377960.0	7849790.0	6427051.0	0.192397	414358465.0
MHW163-RG	Unknown Library	1124812.0	41738133.0	1022696.0	0.0	390730.0	7277629.0	5661199.0	0.176664	390481020.0
MHW164-RG	Unknown Library	981324.0	38929282.0	953836.0	0.0	338215.0	6546289.0	4979574.0	0.170355	356428366.0
MHW165-RG	Unknown Library	1094017.0	43785055.0	954437.0	0.0	386541.0	7537896.0	5652730.0	0.174392	372843751.0
MHW166-RG	Unknown Library	1340314.0	46707278.0	1146718.0	0.0	503073.0	9462055.0	7581089.0	0.205026	393784837.0
MHW167-RG	Unknown Library	1060323.0	42104544.0	971350.0	0.0	367330.0	7163224.0	5473803.0	0.172322	384815127.0
MHW168-RG	Unknown Library	1129077.0	40770854.0	922563.0	0.0	389950.0	7368307.0	5918049.0	0.182974	407093754.0
MHW169-RG	Unknown Library	978173.0	39555332.0	900795.0	0.0	323465.0	6368891.0	4915054.0	0.163084	401054035.0
MHW170-RG	Unknown Library	934444.0	42922200.0	990983.0	0.0	314402.0	6327109.0	4552766.0	0.149444	401970680.0
MHW171-RG	Unknown Library	1638533.0	56087323.0	1267054.0	0.0	618581.0	10141643.0	8029208.0	0.183651	530523982.0
MHW172-RG	Unknown Library	1056352.0	39631532.0	982683.0	0.0	365971.0	6996417.0	5349018.0	0.178771	345189572.0
MHW173-RG	Unknown Library	1173507.0	41093740.0	921019.0	0.0	404337.0	7800136.0	6311722.0	0.191992	394723335.0
MHW174-RG	Unknown Library	1201304.0	44326519.0	1007248.0	0.0	420421.0	8280989.0	6603707.0	0.188999	411531609.0
MHW175-RG	Unknown Library	925924.0	39018096.0	935938.0	0.0	307258.0	5924368.0	4374782.0	0.153947	375615587.0
MHW176-RG	Unknown Library	1652985.0	35238360.0	8512431.0	0.0	491275.0	2914237.0	1988316.0	0.087616	585872939.0
MHW177-RG	Unknown Library	1500358.0	31146419.0	2551207.0	0.0	418501.0	3341231.0	2486742.0	0.111312	471023260.0
MHW178-RG	Unknown Library	1391347.0	28768232.0	1752603.0	0.0	349927.0	2952358.0	2099773.0	0.106141	408150768.0
MHW179-RG	Unknown Library	1489578.0	30134753.0	2289249.0	0.0	424809.0	3394884.0	2531181.0	0.116818	431849082.0
MHW180-RG	Unknown Library	1916392.0	31613979.0	4021169.0	0.0	600845.0	3825742.0	3065639.0	0.126678	526557677.0
MHW181-RG	Unknown Library	1339012.0	28347269.0	4064341.0	0.0	402726.0	3098167.0	2307335.0	0.113711	419987250.0
MHW182-RG	Unknown Library	1490460.0	34944459.0	1660677.0	0.0	420121.0	4297973.0	3208731.0	0.126312	451679643.0
MHW183-RG	Unknown Library	1789742.0	34518327.0	4260629.0	0.0	595234.0	4477513.0	3497511.0	0.13484	480568153.0
MHW184-RG	Unknown Library	1777697.0	33914105.0	4027865.0	0.0	573616.0	4238560.0	3252186.0	0.130028	466293987.0
MHW185-RG	Unknown Library	1216735.0	29398031.0	1552083.0	0.0	315284.0	3098724.0	2113856.0	0.108522	368781449.0
MHW186-RG	Unknown Library	1341542.0	44886005.0	1013934.0	0.0	484778.0	9504730.0	7837527.0	0.213955	399200042.0
MHW187-RG	Unknown Library	1361568.0	47691408.0	1130467.0	0.0	492449.0	9922130.0	8178233.0	0.210211	434373978.0
MHW188-RG	Unknown Library	1347364.0	45722278.0	1070164.0	0.0	481180.0	9729714.0	8115041.0	0.214896	425326211.0
