Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
MHW235-RG	Unknown Library	1355852.0	43275527.0	1100298.0	0.0	458750.0	8164018.0	6606181.0	0.190961	419261371.0
MHW236-RG	Unknown Library	1295760.0	48937307.0	1319871.0	0.0	436974.0	8574874.0	6551362.0	0.177338	429679298.0
MHW237-RG	Unknown Library	1279752.0	44982157.0	1042479.0	0.0	426682.0	7767115.0	6094152.0	0.174925	438917800.0
MHW238-RG	Unknown Library	1385247.0	45495270.0	1165514.0	0.0	462208.0	7999498.0	6432659.0	0.178198	473822004.0
MHW239-RG	Unknown Library	943299.0	33034393.0	865786.0	0.0	293454.0	5677559.0	4462574.0	0.173828	326357158.0
MHW240-RG	Unknown Library	1410254.0	43818466.0	973569.0	0.0	489141.0	8839619.0	7295760.0	0.204031	419742499.0
MHW241-RG	Unknown Library	1290037.0	43283067.0	1006289.0	0.0	442201.0	7930840.0	6380763.0	0.185575	426873194.0
MHW258-RG	Unknown Library	1020834.0	40173696.0	929948.0	0.0	350393.0	6482053.0	4805591.0	0.163633	361193263.0
MHW260-RG	Unknown Library	1285189.0	43709290.0	1059932.0	0.0	442826.0	7231255.0	5441722.0	0.168035	396301080.0
MHW263-RG	Unknown Library	1006467.0	39509808.0	887936.0	0.0	333544.0	5863665.0	4492138.0	0.150712	435283179.0
MHW265-RG	Unknown Library	983996.0	39926776.0	1091633.0	0.0	340400.0	5812237.0	4139410.0	0.148011	370781294.0
MHW267-RG	Unknown Library	1100002.0	38631056.0	964047.0	0.0	364309.0	6645454.0	5507455.0	0.174258	470956741.0
MHW268-RG	Unknown Library	1330788.0	47775186.0	1118277.0	0.0	492023.0	8965163.0	7069381.0	0.190154	423336324.0
MHW269-RG	Unknown Library	956737.0	37697282.0	971448.0	0.0	310981.0	5439276.0	4242707.0	0.146553	456454769.0
MHW270-RG	Unknown Library	969669.0	37922225.0	912199.0	0.0	313119.0	5181525.0	3750737.0	0.138987	396586753.0
MHW271-RG	Unknown Library	747663.0	33226115.0	785923.0	0.0	234605.0	4559018.0	3258251.0	0.139176	335145694.0
MHW272-RG	Unknown Library	880327.0	37713244.0	977777.0	0.0	294086.0	5305560.0	3904720.0	0.142913	396626218.0
MHW273-RG	Unknown Library	1278757.0	43100312.0	940440.0	0.0	461192.0	8315577.0	6867302.0	0.195387	441079656.0
MHW274-RG	Unknown Library	1164669.0	43434801.0	957340.0	0.0	398627.0	7673268.0	6265913.0	0.178853	478354214.0
MHW275-RG	Unknown Library	1178742.0	40915817.0	978770.0	0.0	416142.0	7577625.0	6026116.0	0.187584	380574474.0
MHW276-RG	Unknown Library	1038657.0	40678172.0	1037369.0	0.0	358764.0	6507974.0	4817330.0	0.162324	368278462.0
MHW277-RG	Unknown Library	1196005.0	42533403.0	921976.0	0.0	415407.0	7877794.0	6482777.0	0.187462	453721830.0
MHW278-RG	Unknown Library	1027600.0	39805861.0	885438.0	0.0	325700.0	6284064.0	5133119.0	0.159895	510643387.0
MHW279-RG	Unknown Library	883858.0	32935201.0	792209.0	0.0	276522.0	4912414.0	3805906.0	0.151321	373648041.0
MHW280-RG	Unknown Library	1105015.0	41793252.0	928221.0	0.0	379071.0	7519756.0	6079668.0	0.182056	430854720.0
MHW281-RG	Unknown Library	1308877.0	44761447.0	969665.0	0.0	480509.0	9230987.0	7535049.0	0.208545	396060472.0
MHW282-RG	Unknown Library	1141835.0	44725093.0	1050789.0	0.0	404450.0	7699204.0	5812705.0	0.17444	388240108.0
MHW283-RG	Unknown Library	1188006.0	43880024.0	1089127.0	0.0	433204.0	8417699.0	6739512.0	0.194143	398508762.0
MHW284-RG	Unknown Library	1055003.0	41706386.0	949272.0	0.0	368327.0	7445492.0	5843171.0	0.180652	389300372.0
MHW285-RG	Unknown Library	1142132.0	41434855.0	914366.0	0.0	401258.0	7773373.0	6213004.0	0.18983	385697960.0
MHW286-RG	Unknown Library	1307534.0	42914491.0	974036.0	0.0	473582.0	8541036.0	7186935.0	0.201473	459344546.0
MHW287-RG	Unknown Library	993475.0	36450836.0	808025.0	0.0	332166.0	6252282.0	4879055.0	0.173715	352330437.0
MHW288-RG	Unknown Library	1153439.0	42970537.0	1037709.0	0.0	406444.0	7395713.0	5936923.0	0.174499	457650119.0
MHW289-RG	Unknown Library	1757991.0	37138425.0	1173806.0	0.0	524044.0	5600453.0	4706025.0	0.154205	577146167.0
MHW290-RG	Unknown Library	1823312.0	39077117.0	1364349.0	0.0	568999.0	6101866.0	5097126.0	0.159704	563212927.0
MHW291-RG	Unknown Library	2111060.0	33203637.0	1360709.0	0.0	610542.0	5206770.0	4356633.0	0.160892	479757249.0
MHW292-RG	Unknown Library	1844452.0	45923239.0	1298923.0	0.0	556272.0	6847096.0	5647056.0	0.152101	662388875.0
MHW293-RG	Unknown Library	2139126.0	44688116.0	1577169.0	0.0	666387.0	6759777.0	5652477.0	0.155012	674987206.0
MHW294-RG	Unknown Library	2054406.0	47354338.0	1512038.0	0.0	679274.0	7186815.0	5917591.0	0.155565	662515185.0
MHW295-RG	Unknown Library	2044418.0	50065600.0	1472057.0	0.0	679255.0	8130622.0	6674534.0	0.165798	631975509.0
MHW296-RG	Unknown Library	2860030.0	54736922.0	2590668.0	0.0	1093924.0	8482733.0	7118224.0	0.160765	814949872.0
MHW297-RG	Unknown Library	2371792.0	47707499.0	4569496.0	0.0	824492.0	7233635.0	5458327.0	0.156379	488543604.0
MHW298-RG	Unknown Library	1893689.0	48017160.0	1357267.0	0.0	589062.0	6990407.0	5461815.0	0.148781	578089563.0
MHW299-RG	Unknown Library	2580122.0	43261437.0	1984676.0	0.0	841072.0	6502534.0	5271435.0	0.155395	573426361.0
MHW300-RG	Unknown Library	2323968.0	51573468.0	1883242.0	0.0	774589.0	8157349.0	6737203.0	0.162028	692750372.0
MHW301-RG	Unknown Library	2332365.0	50126693.0	1768800.0	0.0	740919.0	7713324.0	6332193.0	0.157601	679667128.0
MHW302-RG	Unknown Library	1800111.0	46932464.0	1268090.0	0.0	520365.0	6910745.0	5393707.0	0.149917	554764262.0
MHW303-RG	Unknown Library	1769610.0	50501795.0	1263999.0	0.0	531476.0	7527047.0	5917842.0	0.15165	602659589.0
MHW304-RG	Unknown Library	3123236.0	45657028.0	6264769.0	0.0	1164515.0	6251839.0	4694742.0	0.144733	525051545.0
MHW305-RG	Unknown Library	1841932.0	46911558.0	1181664.0	0.0	500006.0	6439442.0	4992948.0	0.139851	593334523.0
MHW306-RG	Unknown Library	1778357.0	46240540.0	1228195.0	0.0	511832.0	6640162.0	5161599.0	0.146321	556871720.0
MHW307-RG	Unknown Library	2347210.0	53115215.0	1539339.0	0.0	701970.0	7551340.0	5571253.0	0.145561	554829647.0
MHW308-RG	Unknown Library	1634671.0	40102374.0	1207023.0	0.0	479648.0	5876694.0	4933037.0	0.149476	643590142.0
MHW309-RG	Unknown Library	1967772.0	43557183.0	1419506.0	0.0	605483.0	6797596.0	5663332.0	0.159411	620289563.0
MHW310-RG	Unknown Library	1745822.0	43295684.0	1142915.0	0.0	506004.0	6624792.0	5223288.0	0.155717	504355423.0
MHW311-RG	Unknown Library	1039484.0	35064535.0	966758.0	0.0	426000.0	8340261.0	3655863.0	0.240366	94544029.0
MHW312-RG	Unknown Library	1895432.0	54792695.0	1099262.0	0.0	676946.0	12238576.0	10330257.0	0.225636	503041826.0
MHW313-RG	Unknown Library	1492607.0	44376502.0	981220.0	0.0	506725.0	9343073.0	8052573.0	0.212674	499026926.0
MHW314-RG	Unknown Library	1477704.0	44008275.0	991955.0	0.0	519737.0	9580480.0	8108162.0	0.21991	425632998.0
MHW315-RG	Unknown Library	1273450.0	41319600.0	898745.0	0.0	392270.0	7510015.0	6230640.0	0.183671	469417357.0
MHW316-RG	Unknown Library	1231195.0	40061361.0	784564.0	0.0	391914.0	7938808.0	6681889.0	0.199985	432024578.0
MHW317-RG	Unknown Library	1253035.0	38591109.0	854675.0	0.0	406116.0	7481439.0	6259363.0	0.195945	416844448.0
MHW318-RG	Unknown Library	1283561.0	41531675.0	841346.0	0.0	413198.0	8463105.0	7067283.0	0.205573	413914617.0
MHW319-RG	Unknown Library	1360365.0	48065857.0	1008619.0	0.0	457268.0	10022567.0	8273450.0	0.210298	439274919.0
MHW320-RG	Unknown Library	1823010.0	54613123.0	1110687.0	0.0	668266.0	13181138.0	11264666.0	0.24341	475688307.0
MHW321-RG	Unknown Library	2916984.0	83256753.0	1880005.0	0.0	1219253.0	20410653.0	17366264.0	0.248129	690905414.0
MHW322-RG	Unknown Library	1355704.0	49294363.0	1168401.0	0.0	502725.0	9951720.0	8016827.0	0.204175	426422336.0
MHW323-RG	Unknown Library	1684666.0	52916371.0	1140953.0	0.0	598186.0	11401246.0	9610727.0	0.217645	509160040.0
MHW324-RG	Unknown Library	1774509.0	49960880.0	1078051.0	0.0	640406.0	11429164.0	9840003.0	0.231068	492993595.0
MHW325-RG	Unknown Library	1633670.0	48190604.0	1010012.0	0.0	573717.0	11202096.0	9574506.0	0.234433	445137010.0
MHW326-RG	Unknown Library	1494710.0	42309965.0	925903.0	0.0	556736.0	11279901.0	10074814.0	0.268439	420319387.0
MHW327-RG	Unknown Library	1436306.0	42661373.0	969800.0	0.0	541449.0	10694900.0	9365195.0	0.252783	405698500.0
MHW328-RG	Unknown Library	1682923.0	43321841.0	3888186.0	0.0	683912.0	10946056.0	9510030.0	0.255597	386704116.0
MHW329-RG	Unknown Library	1606222.0	50195516.0	1078645.0	0.0	623246.0	12736730.0	11055722.0	0.255857	442514021.0
MHW330-RG	Unknown Library	1361348.0	43711329.0	1020293.0	0.0	497145.0	10128198.0	8668936.0	0.233753	408986394.0
