Sample	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct
MHW043-RG	0.227168	0.007241852	1058481.0	101133571.0	100.0	94.82767497649223	14.956024839664764	101133571.0	102192052	102192052	100.0
MHW044-RG	0.180528	0.007443166	1142347.0	95152177.0	100.0	95.21533910884666	16.0576010783232	95152177.0	96294524	96294524	100.0
MHW045-RG	0.178863	0.007297258	924774.0	83630051.0	100.0	95.53254248284507	15.637455488338755	83630051.0	84554825	84554825	100.0
MHW046-RG	0.22044	0.007266521	1098682.0	100651726.0	100.0	94.79681451264929	15.431859558970704	100651726.0	101750408	101750408	100.0
MHW047-RG	0.128114	0.007566958	1670419.0	97608921.0	100.0	92.97541154050867	16.698243186194016	97608921.0	99279340	99279340	100.0
MHW048-RG	0.118407	0.007617605	1527027.0	91077396.0	100.0	93.31611325383085	16.503274863062618	91077396.0	92604423	92604423	100.0
MHW049-RG	0.127737	0.007551732	1252709.0	83071503.0	100.0	93.84291265321153	16.3166687859253	83071503.0	84324212	84324212	100.0
MHW050-RG	0.131525	0.007467506	1508477.0	80812795.0	100.0	91.9614622907177	16.34009193717406	80812795.0	82321272	82321272	100.0
MHW051-RG	0.132508	0.007393473	2628420.0	95842641.0	100.0	85.81831754824036	16.688310999276407	95842641.0	98471061	98471061	100.0
MHW052-RG	0.143144	0.007386224	1513943.0	91005225.0	100.0	91.60373813701355	15.480833106011222	91005225.0	92519168	92519168	100.0
MHW053-RG	0.131128	0.007571068	1525916.0	92792865.0	100.0	92.5865108270986	16.633087037457027	92792865.0	94318781	94318781	100.0
MHW054-RG	0.150028	0.00746688	1306435.0	99014019.0	100.0	93.99596636916637	15.420188125077521	99014019.0	100320454	100320454	100.0
MHW055-RG	0.115628	0.00741503	1153016.0	88737034.0	100.0	94.50589705308383	16.540947266729695	88737034.0	89890050	89890050	100.0
MHW056-RG	0.130865	0.007385273	1636338.0	97958843.0	100.0	90.84308805076434	15.772324914045791	97958843.0	99595181	99595181	100.0
MHW057-RG	0.123238	0.007329595	1329987.0	91469720.0	100.0	92.69031543990732	15.56899157447951	91469720.0	92799707	92799707	100.0
MHW058-RG	0.130583	0.00733746	1881924.0	93356478.0	100.0	88.50050020096089	16.58242077212896	93356478.0	95238402	95238402	100.0
MHW059-RG	0.125707	0.007454609	2685716.0	97904099.0	100.0	85.31436053560945	16.367605813930222	97904099.0	100589815	100589815	100.0
MHW060-RG	0.131703	0.007473897	1341694.0	96100838.0	100.0	93.01312232053586	15.259825309743919	96100838.0	97442532	97442532	100.0
MHW061-RG	0.130865	0.007400375	2094601.0	95213619.0	100.0	87.1872919776319	16.454162928099603	95213619.0	97308220	97308220	100.0
MHW062-RG	0.127488	0.007370177	1785996.0	102064703.0	100.0	90.76038363625082	16.28594951185034	102064703.0	103850699	103850699	100.0
MHW063-RG	0.128811	0.007541615	1683516.0	94052039.0	100.0	90.28484751936107	15.90622931630435	94052039.0	95735555	95735555	100.0
MHW064-RG	0.118473	0.00749502	1414639.0	94518648.0	100.0	92.50679294523975	16.010736844225704	94518648.0	95933287	95933287	100.0
MHW065-RG	0.127809	0.007461702	1283784.0	100066435.0	100.0	93.92937402036956	15.489670437444882	100066435.0	101350219	101350219	100.0
MHW066-RG	0.134732	0.007449035	1990119.0	93913222.0	100.0	87.86121724159352	16.04008751824104	93913222.0	95903341	95903341	100.0
MHW067-RG	0.1495	0.007448069	2037294.0	86107996.0	100.0	84.79698447516999	16.041252429100776	86107996.0	88145290	88145290	100.0
MHW068-RG	0.135281	0.00757803	1390846.0	84013400.0	100.0	91.26590758140964	16.099782891776787	84013400.0	85404246	85404246	100.0
MHW069-RG	0.137057	0.00763761	1347945.0	72620549.0	100.0	89.37118886281071	16.061338230863555	72620549.0	73968494	73968494	100.0
MHW070-RG	0.123725	0.007720626	1440976.0	66708199.0	100.0	88.67029973332063	16.99488094409504	66708199.0	68149175	68149175	100.0
MHW071-RG	0.132247	0.06933754	4291441.0	64213242.0	100.0	83.33496072352179	15.495073430492731	64213242.0	68504683	68504683	100.0
MHW072-RG	0.149423	0.007411311	2203508.0	72997853.0	100.0	80.49993196375242	16.475063999485027	72997853.0	75201361	75201361	100.0
