Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
MHW016-RG	81671547.0	0.0	81671547.0	1.0	41200252.0	40471295.0	81671547.0	79272950.0	0.0	65356646.0	81671547.0	0.0	14487765.0	0.0	4522234.0	0.0	11660682858.0	5897723631.0	5762959227.0	11660682858.0	10642287311.0	0.0	0.0	78728429.0	0.007397698	142.0	143.0	142.0	150.0	150.0	150.0	39.4	300.1	814.9	29491766.0	3447734.0	166015.0	6530960.0	80.0	100.0	97.06311795465317	0.0	80.0237639676398	100.0	0.0	17.739060336398428	0.0
MHW017-RG	78864118.0	0.0	78864118.0	1.0	39797526.0	39066592.0	78864118.0	76533874.0	0.0	50785148.0	78864118.0	0.0	16968234.0	0.0	16196508.0	0.0	11015552154.0	5567559907.0	5447992247.0	11015552154.0	9278643313.0	0.0	0.0	62014896.0	0.006683617	139.0	140.0	139.0	150.0	150.0	150.0	39.5	384.2	1264.7	20859095.0	4999397.0	305796.0	12102649.0	64.4	100.0	97.04524179171065	0.0	64.39575980549228	100.0	0.0	21.515784909938382	0.0
MHW018-RG	71474474.0	0.0	71474474.0	1.0	35827246.0	35647228.0	71474474.0	70777124.0	0.0	68695870.0	71474474.0	0.0	30825218.0	0.0	816692.0	0.0	7794816830.0	3918761912.0	3876054918.0	7794816830.0	7174253437.0	0.0	0.0	95299781.0	0.01328358	109.0	109.0	109.0	150.0	150.0	150.0	38.8	116.1	55.2	22605591.0	11807068.0	26495.0	949408.0	96.1	100.0	99.02433699617012	0.0	96.11245267786092	100.0	0.0	43.12758985816391	0.0
MHW019-RG	57443586.0	0.0	57443586.0	1.0	28778670.0	28664916.0	57443586.0	56928710.0	0.0	55392068.0	57443586.0	0.0	18921907.0	0.0	903138.0	0.0	6063323485.0	3051754477.0	3011569008.0	6063323485.0	5618216857.0	0.0	0.0	57076258.0	0.01015914	105.0	106.0	105.0	150.0	150.0	150.0	39.3	107.6	51.4	17149248.0	10685459.0	17720.0	611928.0	96.4	100.0	99.10368409103151	0.0	96.4286386995408	100.0	0.0	32.93998219400857	0.0
MHW020-RG	59744332.0	0.0	59744332.0	1.0	29962248.0	29782084.0	59744332.0	59171932.0	0.0	57646352.0	59744332.0	0.0	25324323.0	0.0	728859.0	0.0	6501998676.0	3270400685.0	3231597991.0	6501998676.0	6003658948.0	0.0	0.0	70979595.0	0.01182272	108.0	109.0	109.0	150.0	150.0	150.0	38.9	117.9	60.1	19032015.0	9855919.0	19988.0	678044.0	96.5	100.0	99.04191748264924	0.0	96.48840328485052	100.0	0.0	42.387825174779756	0.0
MHW021-RG	60151744.0	0.0	60151744.0	1.0	30184517.0	29967227.0	60151744.0	59563874.0	0.0	57603898.0	60151744.0	0.0	22612341.0	0.0	1049279.0	0.0	6337929190.0	3188875175.0	3149054015.0	6337929190.0	5822721962.0	0.0	0.0	63572672.0	0.01091803	105.0	106.0	105.0	150.0	150.0	150.0	39.1	108.7	53.9	18149792.0	10750946.0	24197.0	857002.0	95.8	100.0	99.02268835297609	0.0	95.76430236170708	100.0	0.0	37.59216191636938	0.0
MHW022-RG	52168893.0	0.0	52168893.0	1.0	26186283.0	25982610.0	52168893.0	51576010.0	0.0	49874046.0	52168893.0	0.0	20786649.0	0.0	743046.0	0.0	5823014156.0	2935391345.0	2887622811.0	5823014156.0	5377440278.0	0.0	0.0	64113547.0	0.01192269	111.0	112.0	111.0	150.0	150.0	150.0	38.9	124.8	64.4	17063410.0	7928665.0	21275.0	774655.0	95.6	100.0	98.86353156851536	0.0	95.60112000076367	100.0	0.0	39.84491102772681	0.0
MHW023-RG	49281699.0	0.0	49281699.0	1.0	24759819.0	24521880.0	49281699.0	48607526.0	0.0	46087120.0	49281699.0	0.0	16293114.0	0.0	2059021.0	0.0	5187679428.0	2613524797.0	2574154631.0	5187679428.0	4673090964.0	0.0	0.0	50567473.0	0.01082099	105.0	106.0	105.0	150.0	150.0	150.0	39.2	103.5	48.8	14098572.0	9088938.0	31592.0	1084661.0	93.5	100.0	98.63200130336416	0.0	93.51771739850122	100.0	0.0	33.061185654333876	0.0
MHW024-RG	101915539.0	0.0	101915539.0	1.0	51067421.0	50848118.0	101915539.0	100862198.0	0.0	97561846.0	101915539.0	0.0	47695934.0	0.0	1019986.0	0.0	11375706695.0	5710426612.0	5665280083.0	11375706695.0	10426388968.0	0.0	0.0	122535480.0	0.01175244	111.0	112.0	111.0	150.0	150.0	150.0	38.7	121.7	58.7	32813043.0	16065388.0	40799.0	1511869.0	95.7	100.0	98.96645692076456	0.0	95.72813621679418	100.0	0.0	46.79947186463881	0.0
MHW025-RG	101094922.0	0.0	101094922.0	1.0	50605205.0	50489717.0	101094922.0	99892380.0	0.0	97107804.0	101094922.0	0.0	42432872.0	0.0	1061434.0	0.0	11476325437.0	5768142209.0	5708183228.0	11476325437.0	10544969753.0	0.0	0.0	119151195.0	0.01129934	113.0	114.0	113.0	150.0	150.0	150.0	38.9	124.4	59.6	33035244.0	15620344.0	35499.0	1255103.0	96.1	100.0	98.81048229108876	0.0	96.05606501185095	100.0	0.0	41.97329713553763	0.0
MHW026-RG	77455631.0	0.0	77455631.0	1.0	38794405.0	38661226.0	77455631.0	76599852.0	0.0	74059098.0	77455631.0	0.0	32451285.0	0.0	889884.0	0.0	8562266186.0	4315592821.0	4246673365.0	8562266186.0	7600304943.0	0.0	0.0	87188565.0	0.01147172	110.0	111.0	110.0	150.0	150.0	150.0	38.9	115.1	58.2	24588473.0	12519747.0	32437.0	1159269.0	95.6	100.0	98.895136494337	0.0	95.6148662709881	100.0	0.0	41.8966117518299	0.0
MHW027-RG	109024570.0	0.0	109024570.0	1.0	54648040.0	54376530.0	109024570.0	108019578.0	0.0	105624670.0	109024570.0	0.0	42204545.0	0.0	961443.0	0.0	12404382115.0	6227913299.0	6176468816.0	12404382115.0	11365818986.0	0.0	0.0	109262421.0	0.009613247	113.0	114.0	114.0	150.0	150.0	150.0	39.1	123.6	60.0	35973687.0	16945227.0	32474.0	1058401.0	96.9	100.0	99.0781967771118	0.0	96.8815286315736	100.0	0.0	38.7110400894037	0.0
MHW028-RG	71003696.0	0.0	71003696.0	1.0	35582843.0	35420853.0	71003696.0	70213056.0	0.0	68091914.0	71003696.0	0.0	28697162.0	0.0	729836.0	0.0	8118538741.0	4078317569.0	4040221172.0	8118538741.0	7434076977.0	0.0	0.0	84275449.0	0.01133637	114.0	115.0	114.0	150.0	150.0	150.0	38.9	124.1	56.1	23460153.0	10663622.0	26522.0	956231.0	95.9	100.0	98.88648050095871	0.0	95.89911206875766	100.0	0.0	40.41643409661379	0.0
MHW029-RG	88175929.0	0.0	88175929.0	1.0	44007110.0	44168819.0	88175929.0	87009156.0	0.0	84877306.0	88175929.0	0.0	36316960.0	0.0	776811.0	0.0	10214519037.0	5103287933.0	5111231104.0	10214519037.0	8912763290.0	0.0	0.0	90241939.0	0.01012502	115.0	116.0	116.0	150.0	150.0	150.0	39.0	119.0	59.7	28709218.0	13813980.0	27868.0	953512.0	96.3	100.0	98.67676698932199	0.0	96.25904366712145	100.0	0.0	41.18693209345149	0.0
MHW030-RG	42559282.0	0.0	42559282.0	1.0	21306199.0	21253083.0	42559282.0	41953182.0	0.0	40610320.0	42559282.0	0.0	17252595.0	0.0	473119.0	0.0	4943463476.0	2483577922.0	2459885554.0	4943463476.0	4511103267.0	0.0	0.0	51903649.0	0.01150575	116.0	117.0	116.0	150.0	150.0	150.0	38.9	126.0	56.8	14066089.0	6296782.0	17284.0	596436.0	95.4	100.0	98.57586883162173	0.0	95.42059473653714	100.0	0.0	40.537796196843736	0.0
MHW031-RG	88563082.0	0.0	88563082.0	1.0	44455114.0	44107968.0	88563082.0	87479666.0	0.0	84480356.0	88563082.0	0.0	42654100.0	0.0	1045635.0	0.0	9796847375.0	4931375729.0	4865471646.0	9796847375.0	8994292638.0	0.0	0.0	105340723.0	0.01171195	110.0	111.0	110.0	150.0	150.0	150.0	38.8	121.1	57.0	28607107.0	13720388.0	38618.0	1373720.0	95.4	100.0	98.77667310629501	0.0	95.39003622299414	100.0	0.0	48.16239344516037	0.0
MHW032-RG	79653980.0	0.0	79653980.0	1.0	40089843.0	39564137.0	79653980.0	77727334.0	0.0	68896584.0	79653980.0	0.0	12618846.0	0.0	1980931.0	0.0	11510441226.0	5813955520.0	5696485706.0	11510441226.0	10843811939.0	0.0	0.0	81602167.0	0.007525229	144.0	145.0	144.0	150.0	150.0	150.0	39.4	258.8	107.2	32613668.0	2032687.0	111842.0	4105470.0	86.5	100.0	97.58123071816374	0.0	86.49484181455843	100.0	0.0	15.84207844981506	0.0
MHW033-RG	77183773.0	0.0	77183773.0	1.0	38818232.0	38365541.0	77183773.0	75563466.0	0.0	70051976.0	77183773.0	0.0	12431932.0	0.0	1438802.0	0.0	11141250697.0	5624415624.0	5516835073.0	11141250697.0	10496802062.0	0.0	0.0	79802331.0	0.007602538	144.0	145.0	144.0	150.0	150.0	150.0	39.4	246.3	98.5	33040560.0	2137927.0	75262.0	2527984.0	90.8	100.0	97.90071547810962	0.0	90.75997878465982	100.0	0.0	16.106924443820596	0.0
MHW034-RG	78268101.0	0.0	78268101.0	1.0	39361581.0	38906520.0	78268101.0	76571058.0	0.0	68305402.0	78268101.0	0.0	12776170.0	0.0	2406482.0	0.0	11231669815.0	5667290197.0	5564379618.0	11231669815.0	10500535932.0	0.0	0.0	80126523.0	0.007630707	143.0	144.0	143.0	150.0	150.0	150.0	39.4	234.5	97.7	31587185.0	2755570.0	104506.0	3838268.0	87.3	100.0	97.83175651597833	0.0	87.27106078630935	100.0	0.0	16.32359778346992	0.0
