Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
MHW011-RG	78189566	0	4727806	0	0	0	0	0	78189566	0	100.0	nan	73461760	0	36914263	0	36547497	0	60200808	0	81.95	nan	71748700	0	1713060	0	2.33	nan	10807490	0	7623450	0	78189566
MHW012-RG	95954068	0	7146860	0	0	0	0	0	95954068	0	100.0	nan	88807208	0	44658229	0	44148979	0	71998466	0	81.07	nan	86810628	0	1996580	0	2.25	nan	13860112	0	9490804	0	95954068
MHW013-RG	88865745	0	5600342	0	0	0	0	0	88865745	0	100.0	nan	83265403	0	41902364	0	41363039	0	58558762	0	70.33	nan	80408036	0	2857367	0	3.43	nan	20643204	0	15434630	0	88865745
MHW014-RG	85147730	0	12702632	0	0	0	0	0	85147730	0	100.0	nan	72445098	0	36476619	0	35968479	0	47097486	0	65.01	nan	70213400	0	2231698	0	3.08	nan	21767608	0	15572722	0	85147730
MHW015-RG	69624245	0	5743316	0	0	0	0	0	69624245	0	100.0	nan	63880929	0	32129925	0	31751004	0	48154082	0	75.38	nan	60649346	0	3231583	0	5.06	nan	11447162	0	7439373	0	69624245
MHW016-RG	86193781	0	4522234	0	0	0	0	0	86193781	0	100.0	nan	81671547	0	41200252	0	40471295	0	65356646	0	80.02	nan	79272950	0	2398597	0	2.94	nan	13061920	0	9411201	0	86193781
MHW017-RG	95060626	0	16196508	0	0	0	0	0	95060626	0	100.0	nan	78864118	0	39797526	0	39066592	0	50785148	0	64.4	nan	76533874	0	2330244	0	2.95	nan	24205298	0	16985951	0	95060626
MHW018-RG	72291166	0	816692	0	0	0	0	0	72291166	0	100.0	nan	71474474	0	35827246	0	35647228	0	68695870	0	96.11	nan	70777124	0	697350	0	0.98	nan	1898816	0	701550	0	72291166
MHW019-RG	58346724	0	903138	0	0	0	0	0	58346724	0	100.0	nan	57443586	0	28778670	0	28664916	0	55392068	0	96.43	nan	56928710	0	514876	0	0.9	nan	1223856	0	494850	0	58346724
MHW020-RG	60473191	0	728859	0	0	0	0	0	60473191	0	100.0	nan	59744332	0	29962248	0	29782084	0	57646352	0	96.49	nan	59171932	0	572400	0	0.96	nan	1356088	0	499962	0	60473191
MHW021-RG	61201023	0	1049279	0	0	0	0	0	61201023	0	100.0	nan	60151744	0	30184517	0	29967227	0	57603898	0	95.76	nan	59563874	0	587870	0	0.98	nan	1714004	0	664755	0	61201023
MHW022-RG	52911939	0	743046	0	0	0	0	0	52911939	0	100.0	nan	52168893	0	26186283	0	25982610	0	49874046	0	95.6	nan	51576010	0	592883	0	1.14	nan	1549310	0	594809	0	52911939
MHW023-RG	51340720	0	2059021	0	0	0	0	0	51340720	0	100.0	nan	49281699	0	24759819	0	24521880	0	46087120	0	93.52	nan	48607526	0	674173	0	1.37	nan	2169322	0	855731	0	51340720
MHW024-RG	102935525	0	1019986	0	0	0	0	0	102935525	0	100.0	nan	101915539	0	51067421	0	50848118	0	97561846	0	95.73	nan	100862198	0	1053341	0	1.03	nan	3023738	0	1075276	0	102935525
MHW025-RG	102156356	0	1061434	0	0	0	0	0	102156356	0	100.0	nan	101094922	0	50605205	0	50489717	0	97107804	0	96.06	nan	99892380	0	1202542	0	1.19	nan	2510206	0	889933	0	102156356
MHW026-RG	78345515	0	889884	0	0	0	0	0	78345515	0	100.0	nan	77455631	0	38794405	0	38661226	0	74059098	0	95.61	nan	76599852	0	855779	0	1.1	nan	2318538	0	877802	0	78345515
MHW027-RG	109986013	0	961443	0	0	0	0	0	109986013	0	100.0	nan	109024570	0	54648040	0	54376530	0	105624670	0	96.88	nan	108019578	0	1004992	0	0.92	nan	2116802	0	757159	0	109986013
MHW028-RG	71733532	0	729836	0	0	0	0	0	71733532	0	100.0	nan	71003696	0	35582843	0	35420853	0	68091914	0	95.9	nan	70213056	0	790640	0	1.11	nan	1912462	0	721207	0	71733532
MHW029-RG	88952740	0	776811	0	0	0	0	0	88952740	0	100.0	nan	88175929	0	44007110	0	44168819	0	84877306	0	96.26	nan	87009156	0	1166773	0	1.32	nan	1907024	0	683225	0	88952740
MHW030-RG	43032401	0	473119	0	0	0	0	0	43032401	0	100.0	nan	42559282	0	21306199	0	21253083	0	40610320	0	95.42	nan	41953182	0	606100	0	1.42	nan	1192872	0	449088	0	43032401
MHW031-RG	89608717	0	1045635	0	0	0	0	0	89608717	0	100.0	nan	88563082	0	44455114	0	44107968	0	84480356	0	95.39	nan	87479666	0	1083416	0	1.22	nan	2747440	0	982330	0	89608717
MHW032-RG	81634911	0	1980931	0	0	0	0	0	81634911	0	100.0	nan	79653980	0	40089843	0	39564137	0	68896584	0	86.49	nan	77727334	0	1926646	0	2.42	nan	8210940	0	5672042	0	81634911
MHW033-RG	78622575	0	1438802	0	0	0	0	0	78622575	0	100.0	nan	77183773	0	38818232	0	38365541	0	70051976	0	90.76	nan	75563466	0	1620307	0	2.1	nan	5055968	0	3181306	0	78622575
MHW034-RG	80674583	0	2406482	0	0	0	0	0	80674583	0	100.0	nan	78268101	0	39361581	0	38906520	0	68305402	0	87.27	nan	76571058	0	1697043	0	2.17	nan	7676536	0	5265049	0	80674583
MHW035-RG	87445519	0	1976000	0	0	0	0	0	87445519	0	100.0	nan	85469519	0	43011083	0	42458436	0	75828222	0	88.72	nan	83583254	0	1886265	0	2.21	nan	7168816	0	4797998	0	87445519
MHW036-RG	80574367	0	3968866	0	0	0	0	0	80574367	0	100.0	nan	76605501	0	38549474	0	38056027	0	64208050	0	83.82	nan	74729756	0	1875745	0	2.45	nan	9287760	0	4828383	0	80574367
MHW037-RG	77380784	0	1550367	0	0	0	0	0	77380784	0	100.0	nan	75830417	0	38122076	0	37708341	0	68063970	0	89.76	nan	74168080	0	1662337	0	2.19	nan	5618086	0	3692004	0	77380784
MHW038-RG	83941626	0	2277597	0	0	0	0	0	83941626	0	100.0	nan	81664029	0	41092161	0	40571868	0	71849358	0	87.98	nan	79856082	0	1807947	0	2.21	nan	7422572	0	5008440	0	83941626
MHW039-RG	108420788	0	1133693	0	0	0	0	0	108420788	0	100.0	nan	107287095	0	53862670	0	53424425	0	101058102	0	94.19	nan	105272686	0	2014409	0	1.88	nan	3630286	0	1692470	0	108420788
MHW040-RG	107201768	0	1150258	0	0	0	0	0	107201768	0	100.0	nan	106051510	0	53199383	0	52852127	0	100995742	0	95.23	nan	104489748	0	1561762	0	1.47	nan	3028728	0	1336791	0	107201768
MHW041-RG	94216975	0	1079038	0	0	0	0	0	94216975	0	100.0	nan	93137937	0	46719832	0	46418105	0	88528052	0	95.05	nan	91706966	0	1430971	0	1.54	nan	2754432	0	1180695	0	94216975
MHW042-RG	103908393	0	1038725	0	0	0	0	0	103908393	0	100.0	nan	102869668	0	51623349	0	51246319	0	97737506	0	95.01	nan	101205694	0	1663974	0	1.62	nan	2975236	0	1321250	0	103908393
MHW043-RG	102192052	0	1058481	0	0	0	0	0	102192052	0	100.0	nan	101133571	0	50750680	0	50382891	0	95902614	0	94.83	nan	99436442	0	1697129	0	1.68	nan	3032496	0	1329736	0	102192052
MHW044-RG	96294524	0	1142347	0	0	0	0	0	96294524	0	100.0	nan	95152177	0	47712223	0	47439954	0	90599468	0	95.22	nan	93792150	0	1360027	0	1.43	nan	2784608	0	1259278	0	96294524
MHW045-RG	84554825	0	924774	0	0	0	0	0	84554825	0	100.0	nan	83630051	0	41936133	0	41693918	0	79893914	0	95.53	nan	82473832	0	1156219	0	1.38	nan	2249444	0	983401	0	84554825
MHW046-RG	101750408	0	1098682	0	0	0	0	0	101750408	0	100.0	nan	100651726	0	50491595	0	50160131	0	95414630	0	94.8	nan	98996176	0	1655550	0	1.64	nan	3106628	0	1394171	0	101750408
MHW047-RG	99279340	0	1670419	0	0	0	0	0	99279340	0	100.0	nan	97608921	0	49030000	0	48578921	0	90752296	0	92.98	nan	95976660	0	1632261	0	1.67	nan	4753398	0	2832738	0	99279340
MHW048-RG	92604423	0	1527027	0	0	0	0	0	92604423	0	100.0	nan	91077396	0	45682143	0	45395253	0	84989886	0	93.32	nan	89474436	0	1602960	0	1.76	nan	4051904	0	2350747	0	92604423
MHW049-RG	84324212	0	1252709	0	0	0	0	0	84324212	0	100.0	nan	83071503	0	41702963	0	41368540	0	77956718	0	93.84	nan	81689544	0	1381959	0	1.66	nan	3355376	0	1855068	0	84324212
MHW050-RG	82321272	0	1508477	0	0	0	0	0	82321272	0	100.0	nan	80812795	0	40695559	0	40117236	0	74316628	0	91.96	nan	79151334	0	1661461	0	2.06	nan	4419960	0	2637677	0	82321272
MHW051-RG	98471061	0	2628420	0	0	0	0	0	98471061	0	100.0	nan	95842641	0	48183835	0	47658806	0	82250542	0	85.82	nan	93605014	0	2237627	0	2.33	nan	10608660	0	7454469	0	98471061
MHW052-RG	92519168	0	1513943	0	0	0	0	0	92519168	0	100.0	nan	91005225	0	45728041	0	45277184	0	83364188	0	91.6	nan	89052712	0	1952513	0	2.15	nan	5186628	0	3166749	0	92519168
MHW053-RG	94318781	0	1525916	0	0	0	0	0	94318781	0	100.0	nan	92792865	0	46644744	0	46148121	0	85913676	0	92.59	nan	91027058	0	1765807	0	1.9	nan	4639568	0	2670341	0	94318781
MHW054-RG	100320454	0	1306435	0	0	0	0	0	100320454	0	100.0	nan	99014019	0	49770406	0	49243613	0	93069184	0	94.0	nan	97201854	0	1812165	0	1.83	nan	3657348	0	1826598	0	100320454
MHW055-RG	89890050	0	1153016	0	0	0	0	0	89890050	0	100.0	nan	88737034	0	44561665	0	44175369	0	83861730	0	94.51	nan	87357496	0	1379538	0	1.55	nan	3123574	0	1613806	0	89890050
MHW056-RG	99595181	0	1636338	0	0	0	0	0	99595181	0	100.0	nan	97958843	0	49244130	0	48714713	0	88988838	0	90.84	nan	95860880	0	2097963	0	2.14	nan	6324538	0	4031447	0	99595181
MHW057-RG	92799707	0	1329987	0	0	0	0	0	92799707	0	100.0	nan	91469720	0	45964813	0	45504907	0	84783572	0	92.69	nan	89759662	0	1710058	0	1.87	nan	4538070	0	2724010	0	92799707
MHW058-RG	95238402	0	1881924	0	0	0	0	0	95238402	0	100.0	nan	93356478	0	47045248	0	46311230	0	82620950	0	88.5	nan	91140678	0	2215800	0	2.37	nan	7913098	0	5294751	0	95238402
MHW059-RG	100589815	0	2685716	0	0	0	0	0	100589815	0	100.0	nan	97904099	0	49229993	0	48674106	0	83526256	0	85.31	nan	95612576	0	2291523	0	2.34	nan	11326206	0	8058214	0	100589815
MHW060-RG	97442532	0	1341694	0	0	0	0	0	97442532	0	100.0	nan	96100838	0	48307508	0	47793330	0	89386390	0	93.01	nan	94214920	0	1885918	0	1.96	nan	4364682	0	2495246	0	97442532
MHW061-RG	97308220	0	2094601	0	0	0	0	0	97308220	0	100.0	nan	95213619	0	47898399	0	47315220	0	83014176	0	87.19	nan	93014554	0	2199065	0	2.31	nan	9336640	0	6492260	0	97308220
MHW062-RG	103850699	0	1785996	0	0	0	0	0	103850699	0	100.0	nan	102064703	0	51308805	0	50755898	0	92634316	0	90.76	nan	100101074	0	1963629	0	1.92	nan	6895262	0	4504392	0	103850699
MHW063-RG	95735555	0	1683516	0	0	0	0	0	95735555	0	100.0	nan	94052039	0	47293767	0	46758272	0	84914740	0	90.28	nan	92116514	0	1935525	0	2.06	nan	6647470	0	4341889	0	95735555
MHW064-RG	95933287	0	1414639	0	0	0	0	0	95933287	0	100.0	nan	94518648	0	47470900	0	47047748	0	87436170	0	92.51	nan	92673260	0	1845388	0	1.95	nan	4773320	0	2858859	0	95933287
MHW065-RG	101350219	0	1283784	0	0	0	0	0	101350219	0	100.0	nan	100066435	0	50288562	0	49777873	0	93991776	0	93.93	nan	98236904	0	1829531	0	1.83	nan	3797554	0	1969784	0	101350219
MHW066-RG	95903341	0	1990119	0	0	0	0	0	95903341	0	100.0	nan	93913222	0	47326777	0	46586445	0	82513300	0	87.86	nan	91605600	0	2307622	0	2.46	nan	8452420	0	5728213	0	95903341
MHW067-RG	88145290	0	2037294	0	0	0	0	0	88145290	0	100.0	nan	86107996	0	43319832	0	42788164	0	73016984	0	84.8	nan	83914086	0	2193910	0	2.55	nan	10181728	0	7214070	0	88145290
MHW068-RG	85404246	0	1390846	0	0	0	0	0	85404246	0	100.0	nan	84013400	0	42245895	0	41767505	0	76675592	0	91.27	nan	82229010	0	1784390	0	2.12	nan	5091638	0	3123813	0	85404246
MHW069-RG	73968494	0	1347945	0	0	0	0	0	73968494	0	100.0	nan	72620549	0	36594595	0	36025954	0	64901848	0	89.37	nan	70912688	0	1707861	0	2.35	nan	5568170	0	3682306	0	73968494
MHW070-RG	68149175	0	1440976	0	0	0	0	0	68149175	0	100.0	nan	66708199	0	33662983	0	33045216	0	59150360	0	88.67	nan	64943864	0	1764335	0	2.64	nan	5371070	0	3523678	0	68149175
MHW071-RG	68504683	0	4291441	0	0	0	0	0	68504683	0	100.0	nan	64213242	0	32401179	0	31812063	0	53512080	0	83.33	nan	61609158	0	2604084	0	4.06	nan	7091000	0	3696977	0	68504683
MHW072-RG	75201361	0	2203508	0	0	0	0	0	75201361	0	100.0	nan	72997853	0	36815876	0	36181977	0	58763222	0	80.5	nan	70751556	0	2246297	0	3.08	nan	11285684	0	8251564	0	75201361
MHW073-RG	65737247	0	993717	0	0	0	0	0	65737247	0	100.0	nan	64743530	0	32552383	0	32191147	0	59748746	0	92.29	nan	63514478	0	1229052	0	1.9	nan	3436396	0	2081956	0	65737247
MHW074-RG	89845295	0	1679464	0	0	0	0	0	89845295	0	100.0	nan	88165831	0	44340752	0	43825079	0	78497190	0	89.03	nan	86249116	0	1916715	0	2.17	nan	7189948	0	4886958	0	89845295
MHW075-RG	68044354	0	996592	0	0	0	0	0	68044354	0	100.0	nan	67047762	0	33722505	0	33325257	0	61678924	0	91.99	nan	65689258	0	1358504	0	2.03	nan	3662584	0	2223055	0	68044354
MHW076-RG	80099299	0	1418193	0	0	0	0	0	80099299	0	100.0	nan	78681106	0	39626891	0	39054215	0	71440152	0	90.8	nan	77012020	0	1669086	0	2.12	nan	5134952	0	3310396	0	80099299
MHW077-RG	67910607	0	983838	0	0	0	0	0	67910607	0	100.0	nan	66926769	0	33685408	0	33241361	0	62182136	0	92.91	nan	65668936	0	1257833	0	1.88	nan	3125814	0	1831331	0	67910607
MHW078-RG	66577939	0	1012684	0	0	0	0	0	66577939	0	100.0	nan	65565255	0	32995406	0	32569849	0	60142128	0	91.73	nan	63999444	0	1565811	0	2.39	nan	3533292	0	2158364	0	66577939
MHW079-RG	80204616	0	1741886	0	0	0	0	0	80204616	0	100.0	nan	78462730	0	39540502	0	38922228	0	67973926	0	86.63	nan	76484748	0	1977982	0	2.52	nan	7937284	0	5483560	0	80204616
MHW080-RG	68565524	0	1542593	0	0	0	0	0	68565524	0	100.0	nan	67022931	0	33862526	0	33160405	0	58455884	0	87.22	nan	65186960	0	1835971	0	2.74	nan	6262692	0	4239135	0	68565524
MHW081-RG	69047174	0	1952062	0	0	0	0	0	69047174	0	100.0	nan	67095112	0	33726398	0	33368714	0	58298300	0	86.89	nan	65643946	0	1451166	0	2.16	nan	6849898	0	4811788	0	69047174
MHW082-RG	74772900	0	1640343	0	0	0	0	0	74772900	0	100.0	nan	73132557	0	36779124	0	36353433	0	64308924	0	87.93	nan	71505034	0	1627523	0	2.23	nan	6675020	0	4588560	0	74772900
MHW083-RG	74805954	0	1505099	0	0	0	0	0	74805954	0	100.0	nan	73300855	0	36850583	0	36450272	0	66082432	0	90.15	nan	71839448	0	1461407	0	1.99	nan	5309812	0	3526108	0	74805954
MHW084-RG	80316920	0	1910824	0	0	0	0	0	80316920	0	100.0	nan	78406096	0	39483174	0	38922922	0	68084146	0	86.84	nan	76486598	0	1919498	0	2.45	nan	7822234	0	5420521	0	80316920
MHW085-RG	66632356	0	1087346	0	0	0	0	0	66632356	0	100.0	nan	65545010	0	32986300	0	32558710	0	60770958	0	92.72	nan	64308424	0	1236586	0	1.89	nan	3209492	0	1873738	0	66632356
MHW086-RG	71682258	0	1802323	0	0	0	0	0	71682258	0	100.0	nan	69879935	0	35240112	0	34639823	0	59421144	0	85.03	nan	67972008	0	1907927	0	2.73	nan	8002672	0	5645307	0	71682258
MHW087-RG	87344125	0	2853397	0	0	0	0	0	87344125	0	100.0	nan	84490728	0	42555912	0	41934816	0	71115704	0	84.17	nan	82315712	0	2175016	0	2.57	nan	10482274	0	7444349	0	87344125
MHW088-RG	78460093	0	2978646	0	0	0	0	0	78460093	0	100.0	nan	75481447	0	38047850	0	37433597	0	59076828	0	78.27	nan	73126842	0	2354605	0	3.12	nan	13238188	0	9794296	0	78460093
MHW089-RG	77609576	0	4303552	0	0	0	0	0	77609576	0	100.0	nan	73306024	0	36870518	0	36435506	0	56026210	0	76.43	nan	71208342	0	2097682	0	2.86	nan	14291100	0	10484476	0	77609576
MHW090-RG	69128367	0	2775418	0	0	0	0	0	69128367	0	100.0	nan	66352949	0	33373887	0	32979062	0	54684940	0	82.42	nan	64693174	0	1659775	0	2.5	nan	9372996	0	6777754	0	69128367
MHW091-RG	66962114	0	895335	0	0	0	0	0	66962114	0	100.0	nan	66066779	0	33115967	0	32950812	0	63142430	0	95.57	nan	65407730	0	659049	0	1.0	nan	1910742	0	929326	0	66962114
MHW092-RG	68447638	0	1075270	0	0	0	0	0	68447638	0	100.0	nan	67372368	0	33770236	0	33602132	0	63896424	0	94.84	nan	66685258	0	687110	0	1.02	nan	2473026	0	1268324	0	68447638
MHW093-RG	78724301	0	1348084	0	0	0	0	0	78724301	0	100.0	nan	77376217	0	38780957	0	38595260	0	73348720	0	94.79	nan	76638006	0	738211	0	0.95	nan	2922712	0	1459994	0	78724301
MHW094-RG	83980564	0	1462545	0	0	0	0	0	83980564	0	100.0	nan	82518019	0	41369157	0	41148862	0	77699844	0	94.16	nan	81669350	0	848669	0	1.03	nan	3569430	0	1819606	0	83980564
MHW095-RG	84123921	0	1367168	0	0	0	0	0	84123921	0	100.0	nan	82756753	0	41479118	0	41277635	0	78588170	0	94.96	nan	81930008	0	826745	0	1.0	nan	2945004	0	1511016	0	84123921
MHW096-RG	99841882	0	1391357	0	0	0	0	0	99841882	0	100.0	nan	98450525	0	49348834	0	49101691	0	93975644	0	95.45	nan	97427432	0	1023093	0	1.04	nan	3046198	0	1524697	0	99841882
MHW097-RG	69995467	0	3878437	0	0	0	0	0	69995467	0	100.0	nan	66117030	0	33253492	0	32863538	0	56718778	0	85.79	nan	64882240	0	1234790	0	1.87	nan	7505436	0	4411347	0	69995467
MHW098-RG	69014674	0	9547393	0	0	0	0	0	69014674	0	100.0	nan	59467281	0	30041088	0	29426193	0	44462312	0	74.77	nan	58019924	0	1447357	0	2.43	nan	12619240	0	8150106	0	69014674
MHW099-RG	70173761	0	6462474	0	0	0	0	0	70173761	0	100.0	nan	63711287	0	31980697	0	31730590	0	50898678	0	79.89	nan	62603204	0	1108083	0	1.74	nan	10878132	0	7319209	0	70173761
MHW100-RG	76910089	0	8616598	0	0	0	0	0	76910089	0	100.0	nan	68293491	0	34300151	0	33993340	0	53850648	0	78.85	nan	67065018	0	1228473	0	1.8	nan	12276714	0	8076767	0	76910089
MHW101-RG	76093763	0	9567237	0	0	0	0	0	76093763	0	100.0	nan	66526526	0	33413649	0	33112877	0	48059978	0	72.24	nan	65070146	0	1456380	0	2.19	nan	15730704	0	10889752	0	76093763
MHW102-RG	84634823	0	10894301	0	0	0	0	0	84634823	0	100.0	nan	73740522	0	37090837	0	36649685	0	54744740	0	74.24	nan	72124138	0	1616384	0	2.19	nan	16220588	0	10961873	0	84634823
MHW103-RG	71382163	0	7404366	0	0	0	0	0	71382163	0	100.0	nan	63977797	0	32172727	0	31805070	0	44497050	0	69.55	nan	62133058	0	1844739	0	2.88	nan	16554150	0	12063093	0	71382163
MHW104-RG	66822885	0	5101664	0	0	0	0	0	66822885	0	100.0	nan	61721221	0	31056482	0	30664739	0	50302452	0	81.5	nan	60234840	0	1486381	0	2.41	nan	9073772	0	6140975	0	66822885
MHW105-RG	68133573	0	2908222	0	0	0	0	0	68133573	0	100.0	nan	65225351	0	32790136	0	32435215	0	56633862	0	86.83	nan	63926828	0	1298523	0	1.99	nan	6690412	0	4459170	0	68133573
MHW106-RG	75907146	0	10493698	0	0	0	0	0	75907146	0	100.0	nan	65413448	0	32965052	0	32448396	0	37283050	0	57.0	nan	62971704	0	2441744	0	3.73	nan	24157034	0	17684027	0	75907146
MHW107-RG	66896408	0	2301272	0	0	0	0	0	66896408	0	100.0	nan	64595136	0	32419913	0	32175223	0	57219330	0	88.58	nan	63549360	0	1045776	0	1.62	nan	5819322	0	3907769	0	66896408
MHW108-RG	74353985	0	4967010	0	0	0	0	0	74353985	0	100.0	nan	69386975	0	34833543	0	34553432	0	58038746	0	83.65	nan	68166226	0	1220749	0	1.76	nan	9254594	0	6358103	0	74353985
MHW109-RG	69327193	0	3943261	0	0	0	0	0	69327193	0	100.0	nan	65383932	0	32831062	0	32552870	0	55075926	0	84.23	nan	64209042	0	1174890	0	1.8	nan	8390726	0	5744106	0	69327193
MHW110-RG	79381650	0	4637453	0	0	0	0	0	79381650	0	100.0	nan	74744197	0	37569359	0	37174838	0	65225974	0	87.27	nan	73546728	0	1197469	0	1.6	nan	7648680	0	4852665	0	79381650
MHW111-RG	71795097	0	2230298	0	0	0	0	0	71795097	0	100.0	nan	69564799	0	34980988	0	34583811	0	61082566	0	87.81	nan	68188632	0	1376167	0	1.98	nan	6571392	0	4434211	0	71795097
MHW112-RG	60041545	0	2863153	0	0	0	0	0	60041545	0	100.0	nan	57178392	0	28677741	0	28500651	0	48613482	0	85.02	nan	55741416	0	1436976	0	2.51	nan	6548296	0	4360940	0	60041545
MHW113-RG	65606960	0	2788496	0	0	0	0	0	65606960	0	100.0	nan	62818464	0	31538233	0	31280231	0	55521098	0	88.38	nan	61687698	0	1130766	0	1.8	nan	5685338	0	3516026	0	65606960
MHW114-RG	79669094	0	15044823	0	0	0	0	0	79669094	0	100.0	nan	64624271	0	32581881	0	32042390	0	39532468	0	61.17	nan	62690822	0	1933449	0	2.99	nan	21758376	0	14868329	0	79669094
MHW115-RG	100044841	0	2282816	0	0	0	0	0	100044841	0	100.0	nan	97762025	0	49061011	0	48701014	0	90917294	0	93.0	nan	96473904	0	1288121	0	1.32	nan	4993600	0	3018757	0	100044841
MHW116-RG	70517264	0	1450284	0	0	0	0	0	70517264	0	100.0	nan	69066980	0	34660123	0	34406857	0	63964558	0	92.61	nan	68091666	0	975314	0	1.41	nan	3744538	0	2282017	0	70517264
MHW117-RG	77176990	0	2232040	0	0	0	0	0	77176990	0	100.0	nan	74944950	0	37542996	0	37401954	0	68368690	0	91.23	nan	73709848	0	1235102	0	1.65	nan	4834518	0	3013915	0	77176990
MHW118-RG	70886414	0	2838068	0	0	0	0	0	70886414	0	100.0	nan	68048346	0	34172007	0	33876339	0	60297298	0	88.61	nan	66932882	0	1115464	0	1.64	nan	6104504	0	4070789	0	70886414
MHW119-RG	81809082	0	2159944	0	0	0	0	0	81809082	0	100.0	nan	79649138	0	40018389	0	39630749	0	72078798	0	90.5	nan	78273392	0	1375746	0	1.73	nan	5709306	0	3647243	0	81809082
MHW120-RG	82459892	0	1310247	0	0	0	0	0	82459892	0	100.0	nan	81149645	0	40673299	0	40476346	0	76840052	0	94.69	nan	80305948	0	843697	0	1.04	nan	3137454	0	1541860	0	82459892
MHW121-RG	102573545	0	1389123	0	0	0	0	0	102573545	0	100.0	nan	101184422	0	50730655	0	50453767	0	96153002	0	95.03	nan	99967994	0	1216428	0	1.2	nan	3420174	0	1645733	0	102573545
MHW122-RG	85428476	0	1179330	0	0	0	0	0	85428476	0	100.0	nan	84249146	0	42221258	0	42027888	0	80482162	0	95.53	nan	83415426	0	833720	0	0.99	nan	2502602	0	1219879	0	85428476
MHW123-RG	93827196	0	1356667	0	0	0	0	0	93827196	0	100.0	nan	92470529	0	46360098	0	46110431	0	87601010	0	94.73	nan	91341130	0	1129399	0	1.22	nan	3379338	0	1705098	0	93827196
MHW124-RG	93229034	0	1771443	0	0	0	0	0	93229034	0	100.0	nan	91457591	0	45840248	0	45617343	0	86265874	0	94.32	nan	90578470	0	879121	0	0.96	nan	3840516	0	1940938	0	93229034
MHW125-RG	87328017	0	1084400	0	0	0	0	0	87328017	0	100.0	nan	86243617	0	43222199	0	43021418	0	82534240	0	95.7	nan	85302130	0	941487	0	1.09	nan	2436514	0	1132719	0	87328017
