Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
MHW001-RG	21248842	0	192662	0	0	0	0	0	21248842	0	100.0	nan	21056180	0	10556612	0	10499568	0	20261190	0	96.22	nan	20855654	0	200526	0	0.95	nan	418876	0	185385	0	21248842
MHW002-RG	26454002	0	239993	0	0	0	0	0	26454002	0	100.0	nan	26214009	0	13092997	0	13121012	0	25282332	0	96.45	nan	25841196	0	372813	0	1.42	nan	429940	0	184272	0	26454002
MHW003-RG	63926664	0	785391	0	0	0	0	0	63926664	0	100.0	nan	63141273	0	31715330	0	31425943	0	59627898	0	94.44	nan	62017900	0	1123373	0	1.78	nan	2095602	0	991109	0	63926664
MHW004-RG	62685151	0	1121276	0	0	0	0	0	62685151	0	100.0	nan	61563875	0	30934334	0	30629541	0	58158296	0	94.47	nan	60732530	0	831345	0	1.35	nan	2303882	0	1335691	0	62685151
MHW005-RG	29861227	0	310861	0	0	0	0	0	29861227	0	100.0	nan	29550366	0	14849534	0	14700832	0	28509420	0	96.48	nan	29192688	0	357678	0	1.21	nan	538770	0	233589	0	29861227
MHW006-RG	26524677	0	395312	0	0	0	0	0	26524677	0	100.0	nan	26129365	0	13119663	0	13009702	0	24639142	0	94.3	nan	25512888	0	616477	0	2.36	nan	711272	0	286343	0	26524677
MHW007-RG	52393286	0	927217	0	0	0	0	0	52393286	0	100.0	nan	51466069	0	25955431	0	25510638	0	47821384	0	92.92	nan	50418506	0	1047563	0	2.04	nan	2367012	0	1380020	0	52393286
MHW008-RG	51849066	0	1044511	0	0	0	0	0	51849066	0	100.0	nan	50804555	0	25804441	0	25000114	0	46047148	0	90.64	nan	49376144	0	1428411	0	2.81	nan	3076560	0	1932012	0	51849066
MHW009-RG	75459041	0	2218780	0	0	0	0	0	75459041	0	100.0	nan	73240261	0	36793566	0	36446695	0	64460500	0	88.01	nan	71719970	0	1520291	0	2.08	nan	6739254	0	4600275	0	75459041
MHW010-RG	85869108	0	6039687	0	0	0	0	0	85869108	0	100.0	nan	79829421	0	40140047	0	39689374	0	60034612	0	75.2	nan	77525546	0	2303875	0	2.89	nan	16474716	0	12107130	0	85869108
