Sample	Top over-represented sequence	Sum of remaining over-represented sequences
100_R1_001	0.21326239759212962	0.6941458992143285
100_R2_001	1.0013939145358415	0.6107531171468892
107_R1_001	0.33020273185770016	0.7496687632058976
107_R2_001	1.4499661805988246	0.6923471484635098
108_R1_001	0.49077855689093963	1.588457481409642
108_R2_001	2.0824567353035928	0.3147005334958677
109_R1_001	1.2655670578772764	0.556627085156632
109_R2_001	2.1326325622792623	0.6878550676846613
10_R1_001	0.7237603133189899	0.6542817504390702
10_R2_001	1.2934643022784722	0.3262458456977195
110_R1_001	0.4388430239260032	0.10377346801073722
110_R2_001	0.917102130364633	1.0588038387640981
117_R1_001	0.6393384883388525	0.23746362665438936
117_R2_001	1.1652365594204437	0.2868781514654566
118_R1_001	0.44788338456815324	0.0
118_R2_001	1.0263046032937975	0.36389553241730366
119_R1_001	0.43847742171159754	0.0
119_R2_001	0.972800919480832	0.9811003031524739
11_R1_001	0.30060672879502104	0.2897612877678476
11_R2_001	0.7265936095160549	0.3499576532299432
120_R1_001	0.5400662640159906	0.2085296224098384
120_R2_001	1.0606997289899343	0.2193095802736782
121_R1_001	0.9780861007151701	0.4375546547164185
121_R2_001	1.6974601994352145	0.41296512990059675
127_R1_001	0.6647772515771816	0.12186612583650691
127_R2_001	1.2660035879026155	0.28601736647540044
128_R1_001	0.5024372147630359	0.380511760340316
128_R2_001	1.2619871957364521	0.2851498460449695
129_R1_001	10.637453694930391	6.017325299766105
129_R2_001	17.43527414418367	0.8649047160431635
12_R1_001	0.24241371818767127	0.271226452720188
12_R2_001	0.579488871758096	0.20549377630431043
131_R1_001	1.066788775319532	0.49195529432526053
131_R2_001	2.0614472871225122	0.46494881397269383
137_R1_001	1.1924846104123679	0.4093616464905383
137_R2_001	2.2676338109459997	0.46607897831269396
138_R1_001	0.8857176786102388	0.4753592110664475
138_R2_001	1.821707158678584	0.9510250294136617
139_R1_001	0.5390833355252741	0.5901117167744326
139_R2_001	1.195881626946121	0.8048187626004359
13_R1_001	0.5843462263233785	0.6028694720008303
13_R2_001	0.9880679291183591	0.4663002354890745
140_R1_001	0.6229371735549972	0.4423399862815297
140_R2_001	1.4450080254938051	0.45958762018069566
147_R1_001	1.012018897663595	0.5711029939958985
147_R2_001	1.9853901027776053	0.16521689467326262
148_R1_001	0.5061166076587263	0.4092129146340967
148_R2_001	1.1494416278080657	0.13482428040389616
149_R1_001	3.4732634624182683	2.7076966614657287
149_R2_001	6.5808957534995205	0.22659328695965186
150_R1_001	0.8748634240140746	0.9389608110805138
150_R2_001	1.8023127786898174	0.4301253869955548
18_R1_001	0.46501164305166354	0.5394256846283525
18_R2_001	0.7882148636381576	0.42432580246843976
19-G_R1_001	0.24466142163749693	0.1324590339936939
19-G_R2_001	0.8338906198612214	0.21617401491872157
19-S_R1_001	0.14053126295206814	0.0
19-S_R2_001	0.6499273423641917	0.0
