Sample	Unique Reads	Duplicate Reads
100_R1_001	5625504.0	12301707.0
100_R2_001	5210141.0	12717070.0
107_R1_001	4735280.0	12333325.0
107_R2_001	4386675.0	12681930.0
108_R1_001	7213365.0	15421487.0
108_R2_001	6728085.0	15906767.0
109_R1_001	5993758.0	16216444.0
109_R2_001	5613447.0	16596755.0
10_R1_001	6157536.0	13618348.0
10_R2_001	5790691.0	13985193.0
110_R1_001	6364029.0	14941995.0
110_R2_001	5908561.0	15397463.0
117_R1_001	7253177.0	15236162.0
117_R2_001	6917617.0	15571722.0
118_R1_001	7040285.0	14184213.0
118_R2_001	6557540.0	14666958.0
119_R1_001	6739246.0	15708204.0
119_R2_001	6103507.0	16343943.0
11_R1_001	6366485.0	15227842.0
11_R2_001	5922758.0	15671569.0
120_R1_001	7182185.0	13597117.0
120_R2_001	6818887.0	13960415.0
121_R1_001	6088689.0	15367602.0
121_R2_001	5633336.0	15822955.0
127_R1_001	7648489.0	15882250.0
127_R2_001	7114815.0	16415924.0
128_R1_001	3800147.0	6243695.0
128_R2_001	3636251.0	6407591.0
129_R1_001	3102558.0	6527867.0
129_R2_001	2940873.0	6689552.0
12_R1_001	6222275.0	14463023.0
12_R2_001	5855773.0	14829525.0
131_R1_001	4189301.0	4956652.0
131_R2_001	4004330.0	5141623.0
137_R1_001	3251144.0	5054959.0
137_R2_001	2994881.0	5311222.0
138_R1_001	2909089.0	5570814.0
138_R2_001	2695994.0	5783909.0
139_R1_001	3621060.0	6073545.0
139_R2_001	3401293.0	6293312.0
13_R1_001	5740592.0	12836066.0
13_R2_001	5461277.0	13115381.0
140_R1_001	3818161.0	5725177.0
140_R2_001	3648942.0	5894396.0
147_R1_001	3485005.0	5304653.0
147_R2_001	3257051.0	5532607.0
148_R1_001	7580435.0	17250404.0
148_R2_001	7075936.0	17754903.0
149_R1_001	14304243.0	82616104.0
149_R2_001	11481148.0	85439199.0
150_R1_001	7591642.0	19946142.0
150_R2_001	7067180.0	20470604.0
18_R1_001	5334596.0	12401304.0
18_R2_001	5122394.0	12613506.0
19-G_R1_001	12525969.0	10424523.0
19-G_R2_001	11857171.0	11093321.0
19-S_R1_001	13326496.0	11464429.0
19-S_R2_001	12594082.0	12196843.0
19_R1_001	5427854.0	12421587.0
19_R2_001	5064081.0	12785360.0
1_R1_001	6404217.0	14850524.0
1_R2_001	6033974.0	15220767.0
20-G_R1_001	13438371.0	10864258.0
20-G_R2_001	12708892.0	11593737.0
20-S_R1_001	9503153.0	7067097.0
20-S_R2_001	9065362.0	7504888.0
20_R1_001	5034246.0	12186718.0
20_R2_001	4786092.0	12434872.0
21_R1_001	5374860.0	12030492.0
21_R2_001	5136101.0	12269251.0
28_R1_001	5759190.0	13245852.0
28_R2_001	5417444.0	13587598.0
29_R1_001	5745806.0	13125135.0
29_R2_001	5566788.0	13304153.0
2_R1_001	6123430.0	13486809.0
2_R2_001	5547108.0	14063131.0
30_R1_001	6547966.0	13307852.0
30_R2_001	6227694.0	13628124.0
31_R1_001	6335100.0	12680213.0
31_R2_001	5855171.0	13160142.0
37_R1_001	5138705.0	11198371.0
37_R2_001	4836547.0	11500529.0
38_R1_001	5473842.0	12890231.0
38_R2_001	5146095.0	13217978.0
39_R1_001	5184993.0	12911803.0
39_R2_001	4842604.0	13254192.0
3_R1_001	6108248.0	14600332.0
3_R2_001	5808249.0	14900331.0
40_R1_001	4542420.0	12175475.0
40_R2_001	4264386.0	12453509.0
41_R1_001	4505527.0	11827490.0
41_R2_001	4320050.0	12012967.0
47_R1_001	5767938.0	12821600.0
47_R2_001	5427370.0	13162168.0
48_R1_001	4988643.0	15232112.0
48_R2_001	4615601.0	15605154.0
49_R1_001	6670034.0	13492986.0
49_R2_001	6494628.0	13668392.0
4_R1_001	6129147.0	14724357.0
4_R2_001	5804623.0	15048881.0
50_R1_001	6623928.0	12316838.0
50_R2_001	6292376.0	12648390.0
57-G_R1_001	14034112.0	14886363.0
57-G_R2_001	13382388.0	15538087.0
57-S_R1_001	4639044.0	8549722.0
57-S_R2_001	4424524.0	8764242.0
57_R1_001	6598059.0	13284195.0
57_R2_001	6366260.0	13515994.0
58-G_R1_001	14198094.0	15211386.0
58-G_R2_001	13512763.0	15896717.0
58-S_R1_001	6125715.0	9588765.0
58-S_R2_001	5901074.0	9813406.0
58_R1_001	6190715.0	13530412.0
58_R2_001	5951590.0	13769537.0
59_R1_001	5638218.0	13071126.0
59_R2_001	5327891.0	13381453.0
5_R1_001	5931680.0	13988536.0
5_R2_001	5469871.0	14450345.0
60_R1_001	6976618.0	13486547.0
60_R2_001	6658474.0	13804691.0
67_R1_001	7411290.0	13230959.0
67_R2_001	7094515.0	13547734.0
68_R1_001	7063107.0	13485169.0
68_R2_001	6850267.0	13698009.0
69_R1_001	5900630.0	11725935.0
69_R2_001	5535476.0	12091089.0
70_R1_001	5159053.0	10166381.0
70_R2_001	4880716.0	10444718.0
78_R1_001	5189858.0	13106751.0
78_R2_001	4812886.0	13483723.0
79_R1_001	5710613.0	13284110.0
79_R2_001	5264187.0	13730536.0
80_R1_001	4812645.0	9946010.0
80_R2_001	4604405.0	10154250.0
83_R1_001	4615092.0	11945337.0
83_R2_001	4323417.0	12237012.0
88_R1_001	4625075.0	15556981.0
88_R2_001	4269812.0	15912244.0
90_R1_001	4867217.0	13422061.0
90_R2_001	4457407.0	13831871.0
91_R1_001	6306930.0	13938607.0
91_R2_001	5994901.0	14250636.0
97_R1_001	4492104.0	13648220.0
97_R2_001	4247169.0	13893155.0
98_R1_001	5551975.0	16768560.0
98_R2_001	5126258.0	17194277.0
99_R1_001	5364433.0	11454779.0
99_R2_001	5020369.0	11798843.0
RESUB-116_R1_001	5769860.0	10226567.0
RESUB-116_R2_001	5518985.0	10477442.0
RESUB-156_R1_001	6006424.0	10630860.0
RESUB-156_R2_001	5677958.0	10959326.0
RESUB-36_R1_001	4694961.0	10336019.0
RESUB-36_R2_001	4302283.0	10728697.0
RESUB-76_R1_001	4957068.0	9881051.0
RESUB-76_R2_001	4625246.0	10212873.0
RESUB-94_R1_001	6195060.0	10739810.0
RESUB-94_R2_001	5851071.0	11083799.0
