Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
100_R1_001	68.62030942642082	48.0	150.0	150	27.27272727272727	17927211.0
100_R2_001	70.93725080074309	50.0	150.0	150	54.54545454545454	17927211.0
107_R1_001	72.25737369369742	48.0	150.0	150	36.36363636363637	17068605.0
107_R2_001	74.299747216457	50.0	150.0	150	36.36363636363637	17068605.0
108_R1_001	68.13160198471411	46.0	150.0	150	27.27272727272727	22634852.0
108_R2_001	70.27555504816377	48.0	150.0	150	36.36363636363637	22634852.0
109_R1_001	73.013495492234	49.0	150.0	150	36.36363636363637	22210202.0
109_R2_001	74.72581831822073	50.0	150.0	150	36.36363636363637	22210202.0
10_R1_001	68.86341321109516	47.0	150.0	150	27.27272727272727	19775884.0
10_R2_001	70.71842640917365	48.0	150.0	150	36.36363636363637	19775884.0
110_R1_001	70.13037910638181	50.0	150.0	150	27.27272727272727	21306024.0
110_R2_001	72.2681240014517	51.0	150.0	150	27.27272727272727	21306024.0
117_R1_001	67.74837865187541	49.0	150.0	150	27.27272727272727	22489339.0
117_R2_001	69.24046533241682	51.0	150.0	150	36.36363636363637	22489339.0
118_R1_001	66.82944110800165	50.0	150.0	150	36.36363636363637	21224498.0
118_R2_001	69.10391380512797	52.0	150.0	150	36.36363636363637	21224498.0
119_R1_001	69.97767762081284	51.0	150.0	150	36.36363636363637	22447450.0
119_R2_001	72.80980217229185	52.0	150.0	150	27.27272727272727	22447450.0
11_R1_001	70.5177911177724	49.0	150.0	150	27.27272727272727	21594327.0
11_R2_001	72.57262128574348	50.0	150.0	150	27.27272727272727	21594327.0
120_R1_001	65.43587312041312	49.0	150.0	150	27.27272727272727	20779302.0
120_R2_001	67.18423800242468	50.0	150.0	150	36.36363636363637	20779302.0
121_R1_001	71.62282660284083	48.0	150.0	150	27.27272727272727	21456291.0
121_R2_001	73.74506341336375	50.0	150.0	150	36.36363636363637	21456291.0
127_R1_001	67.49575723339208	49.0	150.0	150	36.36363636363637	23530739.0
127_R2_001	69.76374303338466	51.0	150.0	150	36.36363636363637	23530739.0
128_R1_001	62.16441063706399	47.0	150.0	150	27.27272727272727	10043842.0
128_R2_001	63.79621865686788	49.0	150.0	150	36.36363636363637	10043842.0
129_R1_001	67.78379394388148	57.0	150.0	150	54.54545454545454	9630425.0
129_R2_001	69.46269161920655	62.0	150.0	150	54.54545454545454	9630425.0
12_R1_001	69.91933796148959	48.0	150.0	150	27.27272727272727	20685298.0
12_R2_001	71.69113587705196	49.0	150.0	150	27.27272727272727	20685298.0
131_R1_001	54.19503810436856	48.0	150.0	150	36.36363636363637	9145953.0
131_R2_001	56.21747149076439	50.0	150.0	150	36.36363636363637	9145953.0
137_R1_001	60.85837638996312	48.0	150.0	150	36.36363636363637	8306103.0
137_R2_001	63.9436142839631	50.0	150.0	150	36.36363636363637	8306103.0
138_R1_001	65.69431709328495	47.0	150.0	150	27.27272727272727	8479903.0
138_R2_001	68.20726186614179	49.0	150.0	150	36.36363636363637	8479903.0
139_R1_001	62.64871467108906	48.0	150.0	150	27.27272727272727	9694605.0
139_R2_001	64.9156154960517	50.0	150.0	150	45.45454545454545	9694605.0
13_R1_001	69.09782173685198	47.0	150.0	150	27.27272727272727	18576658.0
13_R2_001	70.60140614773869	49.0	150.0	150	27.27272727272727	18576658.0
140_R1_001	59.99134771144299	47.0	150.0	150	27.27272727272727	9543338.0
140_R2_001	61.76451966664853	49.0	150.0	150	36.36363636363637	9543338.0
147_R1_001	60.35107878576014	46.0	150.0	150	45.45454545454545	8789658.0
147_R2_001	62.94451559907308	48.0	150.0	150	36.36363636363637	8789658.0
148_R1_001	69.4716958724555	48.0	150.0	150	27.27272727272727	24830839.0
148_R2_001	71.50343953834253	49.0	150.0	150	36.36363636363637	24830839.0
149_R1_001	85.24123848835121	52.0	150.0	150	45.45454545454545	96920347.0
149_R2_001	88.15403795557975	54.0	150.0	150	45.45454545454545	96920347.0
150_R1_001	72.43190764450146	47.0	150.0	150	36.36363636363637	27537784.0
150_R2_001	74.33642448474964	48.0	150.0	150	45.45454545454545	27537784.0
18_R1_001	69.92204754133778	47.0	150.0	150	27.27272727272727	17735900.0
18_R2_001	71.11850492699068	49.0	150.0	150	27.27272727272727	17735900.0
19-G_R1_001	45.4217877788883	48.0	150.0	150	18.181818181818183	22950492.0
19-G_R2_001	48.335876028224156	49.0	150.0	150	27.27272727272727	22950492.0
19-S_R1_001	46.244461477986896	52.0	150.0	150	18.181818181818183	24790925.0
19-S_R2_001	49.19882523687876	52.0	150.0	150	18.181818181818183	24790925.0
19_R1_001	69.59090530987007	46.0	150.0	150	27.27272727272727	17849441.0
19_R2_001	71.62891142818114	48.0	150.0	150	36.36363636363637	17849441.0
1_R1_001	69.86923221446915	48.0	150.0	150	36.36363636363637	21254741.0
1_R2_001	71.611163932272	50.0	150.0	150	27.27272727272727	21254741.0
20-G_R1_001	44.7040476409961	48.0	150.0	150	18.181818181818183	24302629.0
20-G_R2_001	47.7056945657955	49.0	150.0	150	27.27272727272727	24302629.0
20-S_R1_001	42.649308693971065	49.0	150.0	150	18.181818181818183	16570250.0
20-S_R2_001	45.29134039018633	50.0	150.0	150	18.181818181818183	16570250.0
20_R1_001	70.76676134560898	48.0	150.0	150	36.36363636363637	17220964.0
20_R2_001	72.20776260626937	50.0	150.0	150	36.36363636363637	17220964.0
21_R1_001	69.11949992357212	47.0	150.0	150	27.27272727272727	17405352.0
21_R2_001	70.49125854730755	49.0	150.0	150	27.27272727272727	17405352.0
28_R1_001	69.69651671705194	48.0	150.0	150	27.27272727272727	19005042.0
28_R2_001	71.49470258274502	50.0	150.0	150	45.45454545454545	19005042.0
29_R1_001	69.55209834915478	48.0	150.0	150	27.27272727272727	18870941.0
29_R2_001	70.50074357006994	50.0	150.0	150	27.27272727272727	18870941.0
2_R1_001	68.774322458903	51.0	150.0	150	27.27272727272727	19610239.0
2_R2_001	71.71320761051452	52.0	150.0	150	27.27272727272727	19610239.0
30_R1_001	67.02243144162243	48.0	150.0	150	27.27272727272727	19855818.0
30_R2_001	68.63542035914182	49.0	150.0	150	27.27272727272727	19855818.0
31_R1_001	66.68422345647997	50.0	150.0	150	27.27272727272727	19015313.0
31_R2_001	69.2081300849577	51.0	150.0	150	18.181818181818183	19015313.0
37_R1_001	68.5457515301619	45.0	150.0	150	45.45454545454545	16337076.0
37_R2_001	70.39527150432224	46.0	150.0	150	36.36363636363637	16337076.0
38_R1_001	70.19266095624099	46.0	150.0	150	45.45454545454545	18364073.0
38_R2_001	71.9773798348408	48.0	150.0	150	45.45454545454545	18364073.0
39_R1_001	71.34856052192544	45.0	150.0	150	45.45454545454545	18096796.0
39_R2_001	73.24054863846716	47.0	150.0	150	45.45454545454545	18096796.0
3_R1_001	70.50378403437578	49.0	150.0	150	27.27272727272727	20708580.0
3_R2_001	71.95245370251698	51.0	150.0	150	36.36363636363637	20708580.0
40_R1_001	72.82899744312701	46.0	150.0	150	45.45454545454545	16717895.0
40_R2_001	74.49208777531769	48.0	150.0	150	54.54545454545454	16717895.0
41_R1_001	72.41461148940131	47.0	150.0	150	45.45454545454545	16333017.0
41_R2_001	73.5502057167216	49.0	150.0	150	54.54545454545454	16333017.0
47_R1_001	68.972133432768	46.0	150.0	150	36.36363636363637	18589538.0
47_R2_001	70.80417316612437	48.0	150.0	150	45.45454545454545	18589538.0
48_R1_001	75.32909816077897	46.0	150.0	150	45.45454545454545	20220755.0
48_R2_001	77.17394682530868	48.0	150.0	150	36.36363636363637	20220755.0
49_R1_001	66.91947244573922	46.0	150.0	150	36.36363636363637	20163020.0
49_R2_001	67.78941015974766	48.0	150.0	150	36.36363636363637	20163020.0
4_R1_001	70.60855407839418	49.0	150.0	150	27.27272727272727	20853504.0
4_R2_001	72.16475973895523	51.0	150.0	150	18.181818181818183	20853504.0
50_R1_001	65.02819703918959	48.0	150.0	150	36.36363636363637	18940766.0
50_R2_001	66.77866641046828	49.0	150.0	150	27.27272727272727	18940766.0
57-G_R1_001	51.47343899087248	48.0	150.0	150	27.27272727272727	28920475.0
57-G_R2_001	53.726944762902086	49.0	150.0	150	36.36363636363637	28920475.0
57-S_R1_001	64.82579537895627	51.0	150.0	150	45.45454545454545	13188766.0
57-S_R2_001	66.45232961526631	53.0	150.0	150	54.54545454545454	13188766.0
57_R1_001	66.81433418101169	48.0	150.0	150	27.27272727272727	19882254.0
57_R2_001	67.98019005216862	49.0	150.0	150	36.36363636363637	19882254.0
58-G_R1_001	51.72273244085379	47.0	150.0	150	27.27272727272727	29409480.0
58-G_R2_001	54.053037292351256	48.0	150.0	150	36.36363636363637	29409480.0
58-S_R1_001	61.018664359462434	45.0	150.0	150	36.36363636363637	15714480.0
58-S_R2_001	62.448178249731015	47.0	150.0	150	45.45454545454545	15714480.0
58_R1_001	68.60872014767125	47.0	150.0	150	36.36363636363637	19721127.0
58_R2_001	69.82124987300793	48.0	150.0	150	36.36363636363637	19721127.0
59_R1_001	69.86416483832659	47.0	150.0	150	18.181818181818183	18709344.0
59_R2_001	71.52283670421697	49.0	150.0	150	27.27272727272727	18709344.0
5_R1_001	70.22281605490505	47.0	150.0	150	27.27272727272727	19920216.0
5_R2_001	72.54111035920111	49.0	150.0	150	36.36363636363637	19920216.0
60_R1_001	65.9064580072729	47.0	150.0	150	27.27272727272727	20463165.0
60_R2_001	67.4611752096061	49.0	150.0	150	27.27272727272727	20463165.0
67_R1_001	64.09650078511294	49.0	150.0	150	36.36363636363637	20642249.0
67_R2_001	65.63109587114758	50.0	150.0	150	45.45454545454545	20642249.0
68_R1_001	65.62676858544238	47.0	150.0	150	36.36363636363637	20548276.0
68_R2_001	66.66257217720621	48.0	150.0	150	36.36363636363637	20548276.0
69_R1_001	66.52422611569642	47.0	150.0	150	36.36363636363637	17626565.0
69_R2_001	68.5958344618647	49.0	150.0	150	36.36363636363637	17626565.0
70_R1_001	66.33666061004564	46.0	150.0	150	27.27272727272727	15325434.0
70_R2_001	68.152842887171	48.0	150.0	150	45.45454545454545	15325434.0
78_R1_001	71.63486849347228	47.0	150.0	150	36.36363636363637	18296609.0
78_R2_001	73.69520462932974	49.0	150.0	150	45.45454545454545	18296609.0
79_R1_001	69.93579619619139	49.0	150.0	150	27.27272727272727	18994723.0
79_R2_001	72.28605913035132	50.0	150.0	150	27.27272727272727	18994723.0
80_R1_001	67.39103345709336	46.0	150.0	150	36.36363636363637	14758655.0
80_R2_001	68.80200568736447	48.0	150.0	150	36.36363636363637	14758655.0
83_R1_001	72.13181269203676	47.0	150.0	150	36.36363636363637	16560429.0
83_R2_001	73.89308736533806	48.0	150.0	150	45.45454545454545	16560429.0
88_R1_001	77.08323181860109	48.0	150.0	150	36.36363636363637	20182056.0
88_R2_001	78.84352634469303	49.0	150.0	150	36.36363636363637	20182056.0
90_R1_001	73.3875941432163	46.0	150.0	150	36.36363636363637	18289278.0
90_R2_001	75.62830660105898	47.0	150.0	150	36.36363636363637	18289278.0
91_R1_001	68.84780421911232	48.0	150.0	150	27.27272727272727	20245537.0
91_R2_001	70.38902883079164	50.0	150.0	150	27.27272727272727	20245537.0
92_R1_001	75.11792384851552	49.0	150.0	150	36.36363636363637	15255686.0
92_R2_001	76.42980596310666	50.0	150.0	150	36.36363636363637	15255686.0
97_R1_001	75.23691432196907	44.0	150.0	150	36.36363636363637	18140324.0
97_R2_001	76.58714182453033	46.0	150.0	150	45.45454545454545	18140324.0
98_R1_001	75.126157991584	47.0	150.0	150	36.36363636363637	22320535.0
98_R2_001	77.03344756899398	49.0	150.0	150	45.45454545454545	22320535.0
99_R1_001	68.1053293110289	49.0	150.0	150	27.27272727272727	16819212.0
99_R2_001	70.15099060523616	50.0	150.0	150	36.36363636363637	16819212.0
RESUB-116_R1_001	63.93032497507225	49.0	150.0	150	27.27272727272727	15996427.0
RESUB-116_R2_001	65.49864272151231	50.0	150.0	150	27.27272727272727	15996427.0
RESUB-156_R1_001	63.897812093024804	50.0	150.0	150	36.36363636363637	16637284.0
RESUB-156_R2_001	65.87208810521822	51.0	150.0	150	27.27272727272727	16637284.0
RESUB-36_R1_001	68.76477504895428	49.0	150.0	150	36.36363636363637	15030980.0
RESUB-36_R2_001	71.37723048094107	50.0	150.0	150	27.27272727272727	15030980.0
RESUB-76_R1_001	66.5923436052914	48.0	150.0	150	27.27272727272727	14838119.0
RESUB-76_R2_001	68.82862760851845	50.0	150.0	150	45.45454545454545	14838119.0
RESUB-94_R1_001	63.4183233513053	49.0	150.0	150	27.27272727272727	16934870.0
RESUB-94_R2_001	65.4495688362648	50.0	150.0	150	27.27272727272727	16934870.0
