""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1"	"p4htmb"	102.242789511889	0.681624208993656	0.22321166037228	3.05291252463926	0.00226631991825019	0.0102299457978122
"2"	"zc3h11a"	887.642680912135	0.698460409470708	0.173044635545009	4.03613268650564	5.43394920248209e-05	0.000511832672924796
"3"	"sfi1"	40.7738060267532	0.969518747187505	0.175959959167305	5.49872153478891	3.82554705591888e-08	1.16369114549414e-06
"4"	"si:ch211-117k10.3"	78.9779277946919	0.862141080546181	0.21368355291431	4.03238710240481	5.5213141519651e-05	0.000519046637486947
"5"	"LOC132466400"	181.614181784311	1.04285529186512	0.175854295330557	5.92771039005485	3.07187645281747e-09	1.32099829960594e-07
"6"	"LOC132466515"	30.3051973050079	-0.768540326882642	0.273933693005632	-2.8093778529909	0.00496373509211929	0.0188336038451402
"7"	"LOC132466526"	764.227879805706	-0.706506888313535	0.185869035488036	-3.801361228166	0.00014390332744907	0.00113064664399762
"8"	"ccdc3b"	53.4818430502984	-0.593153162980793	0.198923035084211	-2.98219177414371	0.00286192665022863	0.0122343130677969
"9"	"LOC132466892"	36.6490626067279	-1.38486343288141	0.229056305546792	-6.04220273443464	1.52024271246526e-09	7.22565360276664e-08
"10"	"LOC132460115"	55.4830408497142	-0.727833569184734	0.254067518644119	-2.86583825390977	0.00415906685869791	0.016375774056063
"11"	"ada"	14.8333501813685	-0.655180647950527	0.245633655188927	-2.6659115478731	0.00767798911972385	0.0263764300501402
"12"	"hnf4a"	3109.76314094017	-0.78836268017427	0.191726872079499	-4.112149096836	3.91993001384321e-05	0.000388470979218248
"13"	"jph2"	39.8169048748088	-1.55809070327733	0.183713893776341	-8.45446327975901	2.80374010316e-17	9.42121877919974e-15
"14"	"LOC132460936"	808.4286824965	-0.867169556504886	0.136926184281142	-6.332947964574	2.4052069867642e-10	1.41271690047789e-08
"15"	"kansl2"	117.958734025176	0.614258990097638	0.134859300075768	4.55368662616148	5.27138637743379e-06	7.64721503690168e-05
"16"	"LOC132460950"	27.7953067965898	0.729432588320411	0.235983707663031	3.08679561495068	0.00202326658100195	0.00934297821313427
"17"	"LOC132461009"	8.35366421392819	1.04202442691804	0.257173086113862	4.02410426252511	5.71925770205531e-05	0.000532801770064456
"18"	"hsd17b10"	411.652253769532	0.833094431051406	0.164926525111672	5.0506815482365	4.40236473235232e-07	9.47984620234853e-06
"19"	"LOC132460145"	72.2083874493367	3.16472540165045	0.217525290153014	14.33045097346	1.41200701898649e-46	6.80069647244526e-43
"20"	"LOC132460863"	4495.51904950894	0.767106708221911	0.128782975499956	5.9565619316363	2.57599521105516e-09	1.14173480995509e-07
"21"	"si:dkey-150i13.2"	119.357253766099	-0.713776667073467	0.277740592456018	-2.43733245330847	0.0147960691770462	0.0440074935239071
"22"	"flna"	1852.78058191749	-1.2164652484858	0.26302700621219	-4.30757616066809	1.65053272245746e-05	0.000193262133766514
"23"	"pofut1"	330.109717948725	-0.749355086064772	0.2040006784938	-3.67381477649847	0.000238955980288425	0.0017182569875146
"24"	"slco4a1"	18.6186535109495	-0.938985747290384	0.220061544787597	-4.26029494603424	2.04157310726572e-05	0.000229027094929211
"25"	"slc26a10"	20.416389826337	-0.630759313639965	0.242825263805833	-2.59990398207031	0.00932498479022161	0.0306011140662985
"26"	"dhh"	126.03294917535	1.24954780398925	0.114552373703982	10.899685593452	1.15656232629689e-27	1.67111690526637e-24
"27"	"ikzf4"	56.4297828797964	0.973865361004894	0.163226685424188	5.95982113927823	2.52514162314902e-09	1.12263911731939e-07
"28"	"pa2g4b"	13124.1532855526	-0.963063252092829	0.207623601759462	-4.6393168269614	3.4956280670899e-06	5.39881633715164e-05
"29"	"mfsd5"	105.975909743367	0.756077374737642	0.152634153795945	4.95127464468076	7.37289641209018e-07	1.46315397281033e-05
"30"	"rarga"	14.2497142077039	-0.657505827395912	0.236214974115603	-2.78177770595894	0.00540620557906064	0.0201066317662412
"31"	"LOC132467634"	25.8904442335964	-0.911407603035829	0.218416010415653	-4.16975009283551	3.04933828934149e-05	0.000315792495630031
"32"	"LOC132453605"	76.4708075235728	-0.725200657973579	0.170978750548622	-4.24210207160513	2.21435933734608e-05	0.000243610631621284
"33"	"LOC132473952"	87.1519540103338	0.753823838017872	0.147076127104846	5.1246273353096	2.98126813917538e-07	6.86448689058857e-06
"34"	"slc48a1a"	253.54479875797	0.591666221911855	0.129977451710855	4.55147103721673	5.32721320239942e-06	7.69729035614692e-05
"35"	"racgap1"	21.5187682670755	-1.58332852286223	0.241122996550272	-6.5449855782088	5.95011273627311e-11	4.05533862860425e-09
"36"	"cd63"	3570.19122428808	-0.956164250039364	0.241693032640234	-3.9587807256009	7.53333594218381e-05	0.000672323477631957
"37"	"slc52a3"	154.86178938678	0.828022299965672	0.211779908816296	3.90950536441477	9.24853017577446e-05	0.000789787307977335
"38"	"LOC132457594"	880.046996698579	-0.602807704597423	0.140271324013856	-4.29751067150704	1.72726947530971e-05	0.000199978498788061
"39"	"dnmt3ba"	47.5065144936262	0.649833090495574	0.146358595013617	4.4366257104661	9.13799791409115e-06	0.000119057648206225
"40"	"LOC132459447"	41.9276291429453	1.00461145387928	0.171071332623819	5.86065378871924	4.61048322591854e-09	1.88716351646733e-07
"41"	"LOC132460294"	10.6428617627553	-1.29577636805115	0.238264447694259	-5.40665384983397	6.4213071716498e-08	1.84090212942794e-06
"42"	"mfsd2al2"	39.387974578713	-0.756473754604664	0.208855060108023	-3.6213667842982	0.000293050694382272	0.00202403894987067
"43"	"LOC132460902"	12.7596295511932	-0.869762502217155	0.28785271894238	-3.03976670714232	0.00236761467659366	0.0105748576389804
"44"	"tnfrsf9a"	437.459321632667	-0.745486576659466	0.242999170790097	-3.06912704082457	0.00214685276583528	0.0097947191706833
"45"	"ccdc187"	654.792863405584	-0.815309556633822	0.191749513006191	-4.25216800556021	2.11710934812651e-05	0.000234947104232565
"46"	"LOC132464990"	29.9012872051776	-0.757160232036061	0.276786350586119	-2.74021708234918	0.00613986166352085	0.0222343010466698
"47"	"LOC132465245"	268.77872027896	-0.669370316937784	0.19648647580782	-3.40717358552625	0.000656393674254247	0.00387744570699085
"48"	"lemd1"	23.2481112572458	0.609939062063103	0.232055306203131	2.62406952819005	0.00868860464854516	0.0288993301168774
"49"	"pm20d1.2"	150.334233404266	-0.85195725605313	0.201763560519101	-4.22310854575527	2.40955699557752e-05	0.000260791678120596
"50"	"LOC132465765"	7376.51377394099	-0.630903680329631	0.122673422544634	-5.14296319668255	2.70438616543038e-07	6.28226297496842e-06
"51"	"LOC132467997"	23.179794253687	1.37329850727285	0.211827041954343	6.4453695286491	1.1531909469556e-10	7.37954235331822e-09
"52"	"LOC132470949"	170.061237342498	-0.658797675709016	0.131405077808468	-5.01303998051681	5.35767591002726e-07	1.11868582693618e-05
"53"	"LOC132470399"	11.779507767385	-0.683445518241125	0.216617800536607	-3.15038561084392	0.00163055094129672	0.00786053650717653
"54"	"scube3"	93.6159722902993	-0.827059520958485	0.170860756126118	-4.8388130559359	1.30616831746048e-06	2.3591032523733e-05
"55"	"si:ch73-217n20.1"	79.5758419151036	-1.23034561834633	0.203061771517954	-6.05503775126197	1.4038473796924e-09	6.77618720411903e-08
"56"	"col2a1a"	12.8376078303833	-0.964390709766133	0.276761936964407	-3.4860378960195	0.000490231552138135	0.0030717067202272
"57"	"LOC132472690"	1148.19875532332	0.845192991401733	0.148450179309936	5.69338266671812	1.24546816294853e-08	4.43245553853284e-07
"58"	"rbm38"	27.7286622768475	-0.711125987694123	0.21693718340768	-3.27639020920737	0.00105143183233135	0.00558534505343958
"59"	"zgc:113278"	11.1087438511234	0.757468482364893	0.195670549314118	3.85542783709863	0.000115527406505436	0.0009420177746033
"60"	"LOC132447667"	24.7927462940346	0.961085372429806	0.200968101702321	4.77120924481645	1.83123180048607e-06	3.16500816808891e-05
"61"	"LOC132449284"	771.042826027438	0.600372399244133	0.14150833281751	4.24247085094305	2.21072262458915e-05	0.000243465939044883
"62"	"nup210"	153.792238402267	-0.882385564658472	0.199396017144525	-4.42545024599058	9.62413375455544e-06	0.000124604936039043
"63"	"fbxw12"	33.1410113480509	0.59805427922891	0.205065563171726	2.91287787624021	0.00358114624411511	0.0146045673387579
"64"	"LOC132450956"	461.427714865836	-0.62846144732891	0.22039480288868	-2.85205318180394	0.00434378326143101	0.016976825627378
"65"	"fgd"	25.4083468518224	-0.99708540486173	0.171053023651419	-5.8190082449916	5.91978145404124e-09	2.3825883629371e-07
