Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
100_R1_001	100_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17927211.0	2.6 Gbp	0.0	150.0	48.0	31.379690573579182	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	fail
100_R2_001	100_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17927211.0	2.6 Gbp	0.0	150.0	50.0	29.062749199256917	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
107_R1_001	107_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17068605.0	2.5 Gbp	0.0	150.0	48.0	27.742626306302586	150.0	150	pass	pass	fail	pass	warn	fail	pass	pass	fail	warn	fail
107_R2_001	107_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17068605.0	2.5 Gbp	0.0	150.0	50.0	25.700252783543	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	fail	fail
108_R1_001	108_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22634852.0	3.3 Gbp	0.0	150.0	46.0	31.868398015285887	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	fail
108_R2_001	108_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22634852.0	3.3 Gbp	0.0	150.0	48.0	29.724444951836237	150.0	150	pass	pass	fail	pass	warn	pass	pass	pass	fail	fail	fail
109_R1_001	109_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22210202.0	3.3 Gbp	0.0	150.0	49.0	26.986504507765996	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	fail	fail
109_R2_001	109_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22210202.0	3.3 Gbp	0.0	150.0	50.0	25.27418168177927	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	fail	fail
10_R1_001	10_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19775884.0	2.9 Gbp	0.0	150.0	47.0	31.136586788904836	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	fail
10_R2_001	10_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19775884.0	2.9 Gbp	0.0	150.0	48.0	29.28157359082636	150.0	150	pass	pass	fail	pass	warn	pass	pass	pass	fail	fail	fail
110_R1_001	110_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21306024.0	3.1 Gbp	0.0	150.0	50.0	29.869620893618197	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	fail
110_R2_001	110_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21306024.0	3.1 Gbp	0.0	150.0	51.0	27.731875998548304	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	fail
117_R1_001	117_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22489339.0	3.3 Gbp	0.0	150.0	49.0	32.25162134812459	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	fail
117_R2_001	117_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22489339.0	3.3 Gbp	0.0	150.0	51.0	30.75953466758319	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	fail	fail
118_R1_001	118_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21224498.0	3.1 Gbp	0.0	150.0	50.0	33.170558891998354	150.0	150	pass	pass	fail	pass	warn	fail	pass	pass	fail	warn	fail
118_R2_001	118_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21224498.0	3.1 Gbp	0.0	150.0	52.0	30.896086194872023	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	fail	fail
119_R1_001	119_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22447450.0	3.3 Gbp	0.0	150.0	51.0	30.022322379187155	150.0	150	pass	pass	fail	pass	warn	fail	pass	pass	fail	warn	fail
119_R2_001	119_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22447450.0	3.3 Gbp	0.0	150.0	52.0	27.19019782770815	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	fail
11_R1_001	11_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21594327.0	3.2 Gbp	0.0	150.0	49.0	29.482208882227596	150.0	150	pass	pass	fail	pass	warn	warn	pass	pass	fail	warn	fail
