Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
1.flexbar_trim.R_1										15.430568391324373	6.871631237180999	16.19372116961167	6.2172890914624945	8.695607871027505	1.2575101119868977	1.1166563476957128
1.flexbar_trim.R_2										15.519575793619797	7.031412579302722	17.436089701874614	6.515795901721046	8.747838275222607	1.3071496824687001	1.746863360849075
10.flexbar_trim.R_1										15.395379122689262	6.299279376237454	14.715638696739141	5.490728238641951	7.502887654965397	1.6466463383746113	2.1821143688440223
10.flexbar_trim.R_2										15.740373611079098	6.946210562336697	15.94467749916987	5.642820774957728	7.650889823614395	1.2360069998477015	2.2210109643243645
100.flexbar_trim.R_1										16.025041317377013	7.3184274989069475	16.45038341289345	5.297694125013722	7.937864564494382	1.064037025311439	1.7176254722498379
100.flexbar_trim.R_2										16.20808766256274	7.548565824758537	16.985666170539005	6.065874734272198	7.740209350761834	1.6947295640987947	2.5831814797586667
107.flexbar_trim.R_1										15.353423120276819	7.064578445484135	17.782228365284222	6.294318699587444	8.776758694283732	1.3237944253012845	1.7063695251307627
107.flexbar_trim.R_2										14.180053776284884	7.175659841187544	17.69085709220499	6.549249273078499	10.77304267194283	1.986292944897636	3.349122449672933
108.flexbar_trim.R_1										15.595343981108334	5.8022246322922255	12.799404674834431	4.316907026986025	6.254644851780207	1.8476629661506574	2.8058319249083405
108.flexbar_trim.R_2										16.161285330170436	6.43329274921612	13.881507808617172	4.606389784137605	6.188606638977389	1.3937643123866745	3.002152351297235
109.flexbar_trim.R_1										15.046504174112208	7.002055841381637	17.815994980516216	6.992077110452323	9.460118929017277	1.6163610744927115	2.9868854490838146
109.flexbar_trim.R_2										14.564617455193565	7.020117158125738	18.049148240873414	7.505054907876159	10.083109875288242	2.3144407054976597	4.0145289465692375
11.flexbar_trim.R_1										15.30384688269626	7.01601818257013	16.818329784389206	6.598899633840218	9.29257623406178	1.4754756331112169	1.5059770080364594
11.flexbar_trim.R_2										15.171776634845408	7.230944205670631	17.929097366679386	6.905600775810574	9.736213290824876	2.058706389572002	2.0401404174062465
110.flexbar_trim.R_1										16.04655292213268	7.7547099591743205	17.57274964408019	5.723537029588853	8.313762086913394	1.2157131263686876	1.4024603605728663
110.flexbar_trim.R_2										15.461018919633021	7.492962756818014	17.596183873262127	6.458982739340543	9.009711212443012	1.7623340946582884	3.8069851210336516
117.flexbar_trim.R_1										15.80300653259956	7.072482699995021	16.116338638991728	5.3159036081033815	7.259358767146116	0.8427629808712845	1.724918951982295
117.flexbar_trim.R_2										15.856846056469365	7.366279305343629	16.64991553104781	5.989666316711585	7.040916800503062	1.1589961723457807	2.629834010896187
118.flexbar_trim.R_1										15.93602571465486	6.92780216415095	16.28619681062747	5.824203425953236	7.131214576698594	0.48930340753960844	1.0787048799728374
118.flexbar_trim.R_2										15.326356719791177	7.2082534608869775	17.01990134666557	6.188113823823957	7.615299381612553	1.5248272402778968	2.449577318251281
119.flexbar_trim.R_1										16.756188656750524	7.770188166048403	17.91218117694628	5.618586268640289	7.287829535563454	0.789151744963118	0.9999520239337476
119.flexbar_trim.R_2										15.912618758057878	7.4122966906583665	17.554447808863177	6.575520127230661	8.846836295227165	1.4925179610975152	3.720374089823286
12.flexbar_trim.R_1										15.097990392460304	6.6440398872438635	16.48362031122914	6.682260762268115	9.430660840878273	1.5545398917175515	1.43715748655431
12.flexbar_trim.R_2										15.134385927084127	7.153001103737991	17.75241300825665	6.956911052805709	9.84427877253545	1.4194520391749095	1.6388554911699962
120.flexbar_trim.R_1										16.58516101082413	6.801275312571077	15.118679619093589	4.617170938378335	6.021679330012923	0.6469332229714538	1.3410307892081486
120.flexbar_trim.R_2										16.618298366701463	7.256840763014585	15.46455024649204	5.276992887548024	5.994475482009603	1.1056548052376742	2.104084387758258
121.flexbar_trim.R_1										15.0904289903221	6.457328603211211	16.008887236560383	6.209689007168126	9.566435360973253	1.52049779550938	2.438501565959286
121.flexbar_trim.R_2										14.48512195874109	6.55770090036662	16.49827616626529	6.908591244636239	10.241988506074373	2.605588801949687	3.3153016019520996
127.flexbar_trim.R_1										15.826974949331293	6.937593283711016	15.814532263962086	5.4809002661279	6.741716656653884	0.6318091133403672	1.6514127261739655
127.flexbar_trim.R_2										15.698069156026156	7.187996316262773	16.960016029216515	5.877533253792441	6.978874394291175	1.0348204138291957	2.5018867531339706
128.flexbar_trim.R_1										15.126613873654337	6.310735746100167	14.819271372634136	4.806290342064366	6.023613879075987	0.9434144905043665	0.9706636365916322
128.flexbar_trim.R_2										15.650915462933717	6.780254158451443	15.313213860977228	4.6071322910475665	5.947607711885054	1.1561661341275526	1.6705887011237763
129.flexbar_trim.R_1										8.358918937809559	3.0961439145865497	7.078539837716388	2.427623625025159	4.363938113994888	1.0144549530859186	17.226181429897355
129.flexbar_trim.R_2										8.630540376633261	3.177998119954189	7.28367660235814	2.0158123697013184	3.5929595194300856	0.8210380754716664	19.023094049251018
13.flexbar_trim.R_1										15.22838093562721	6.282056431500544	15.024629403037478	6.049462093995606	7.910899537374447	1.481165902047397	1.9724056744346605
13.flexbar_trim.R_2										15.608068310164896	6.681356159235416	15.950564455324276	5.920006167687968	8.037247159276854	1.4218410581844245	2.131103271652657
131.flexbar_trim.R_1										14.497616475050995	5.605891971630551	10.604486123206193	2.8018560551187273	3.449465288326973	0.553097004323254	1.7314335574444162
131.flexbar_trim.R_2										15.493838771339414	6.120381031435049	11.52476955887215	2.69457351704963	2.9988845601259366	0.23011723179233823	2.7378355065548425
