Sample	Unique Reads	Duplicate Reads
1.flexbar_trim.R_1	5926528.0	13840666.0
1.flexbar_trim.R_2	5585295.0	14181899.0
10.flexbar_trim.R_1	5711713.0	12713069.0
10.flexbar_trim.R_2	5362852.0	13061930.0
100.flexbar_trim.R_1	5215272.0	11507792.0
100.flexbar_trim.R_2	4826670.0	11896394.0
107.flexbar_trim.R_1	4377979.0	11526425.0
107.flexbar_trim.R_2	4053655.0	11850749.0
108.flexbar_trim.R_1	6690111.0	14333751.0
108.flexbar_trim.R_2	6254876.0	14768986.0
109.flexbar_trim.R_1	5537456.0	15125928.0
109.flexbar_trim.R_2	5173584.0	15489800.0
11.flexbar_trim.R_1	5885774.0	14206276.0
11.flexbar_trim.R_2	5453108.0	14638942.0
110.flexbar_trim.R_1	5885759.0	13953373.0
110.flexbar_trim.R_2	5418260.0	14420872.0
117.flexbar_trim.R_1	6626112.0	14085277.0
117.flexbar_trim.R_2	6252875.0	14458514.0
118.flexbar_trim.R_1	6480381.0	13170979.0
118.flexbar_trim.R_2	5983070.0	13668290.0
119.flexbar_trim.R_1	6199970.0	14641928.0
119.flexbar_trim.R_2	5595553.0	15246345.0
12.flexbar_trim.R_1	5743593.0	13484164.0
12.flexbar_trim.R_2	5392512.0	13835245.0
120.flexbar_trim.R_1	6632953.0	12648813.0
120.flexbar_trim.R_2	6256954.0	13024812.0
121.flexbar_trim.R_1	5622544.0	14310699.0
121.flexbar_trim.R_2	5175057.0	14758186.0
127.flexbar_trim.R_1	7053554.0	14765276.0
127.flexbar_trim.R_2	6551199.0	15267631.0
128.flexbar_trim.R_1	3500217.0	5843156.0
128.flexbar_trim.R_2	3348707.0	5994666.0
129.flexbar_trim.R_1	2869107.0	5955048.0
129.flexbar_trim.R_2	2716114.0	6108041.0
13.flexbar_trim.R_1	5312743.0	11970632.0
13.flexbar_trim.R_2	5060421.0	12222954.0
131.flexbar_trim.R_1	3846541.0	4578407.0
131.flexbar_trim.R_2	3650619.0	4774329.0
137.flexbar_trim.R_1	3006708.0	4721491.0
137.flexbar_trim.R_2	2760817.0	4967382.0
138.flexbar_trim.R_1	2685510.0	5228884.0
138.flexbar_trim.R_2	2486217.0	5428177.0
139.flexbar_trim.R_1	3342614.0	5683222.0
139.flexbar_trim.R_2	3130419.0	5895417.0
140.flexbar_trim.R_1	3524288.0	5322844.0
140.flexbar_trim.R_2	3346123.0	5501009.0
147.flexbar_trim.R_1	3210349.0	4939112.0
147.flexbar_trim.R_2	2995692.0	5153769.0
148.flexbar_trim.R_1	7019902.0	16064839.0
148.flexbar_trim.R_2	6576834.0	16507907.0
149.flexbar_trim.R_1	13084125.0	76873575.0
149.flexbar_trim.R_2	10371680.0	79586020.0
150.flexbar_trim.R_1	6981499.0	18520928.0
150.flexbar_trim.R_2	6479614.0	19022813.0
18.flexbar_trim.R_1	4942931.0	11614230.0
18.flexbar_trim.R_2	4743647.0	11813514.0
19-G.flexbar_trim.R_1	11656961.0	9593851.0
19-G.flexbar_trim.R_2	11011972.0	10238840.0
19-S.flexbar_trim.R_1	12198315.0	10226843.0
19-S.flexbar_trim.R_2	11343856.0	11081302.0
19.flexbar_trim.R_1	5028334.0	11616144.0
19.flexbar_trim.R_2	4697796.0	11946682.0
2.flexbar_trim.R_1	5665950.0	12603926.0
2.flexbar_trim.R_2	5095227.0	13174649.0
20-G.flexbar_trim.R_1	12445159.0	9915537.0
20-G.flexbar_trim.R_2	11701125.0	10659571.0
20-S.flexbar_trim.R_1	8838318.0	6484870.0
20-S.flexbar_trim.R_2	8391216.0	6931972.0
20.flexbar_trim.R_1	4654440.0	11379016.0
20.flexbar_trim.R_2	4431054.0	11602402.0
21.flexbar_trim.R_1	4966328.0	11235870.0
21.flexbar_trim.R_2	4757247.0	11444951.0
28.flexbar_trim.R_1	5322916.0	12366404.0
28.flexbar_trim.R_2	4991876.0	12697444.0
29.flexbar_trim.R_1	5297475.0	12248642.0
29.flexbar_trim.R_2	5125960.0	12420157.0
3.flexbar_trim.R_1	5596934.0	13539335.0
3.flexbar_trim.R_2	5267688.0	13868581.0
30.flexbar_trim.R_1	6044107.0	12384155.0
30.flexbar_trim.R_2	5716263.0	12711999.0
31.flexbar_trim.R_1	5872579.0	11852409.0
31.flexbar_trim.R_2	5426572.0	12298416.0
37.flexbar_trim.R_1	4764451.0	10478693.0
37.flexbar_trim.R_2	4494814.0	10748330.0
38.flexbar_trim.R_1	5052889.0	11983310.0
38.flexbar_trim.R_2	4736034.0	12300165.0
39.flexbar_trim.R_1	4792936.0	12035167.0
39.flexbar_trim.R_2	4486146.0	12341957.0
4.flexbar_trim.R_1	5680871.0	13766286.0
4.flexbar_trim.R_2	5368155.0	14079002.0
40.flexbar_trim.R_1	4191265.0	11328946.0
40.flexbar_trim.R_2	3962506.0	11557705.0
41.flexbar_trim.R_1	4148680.0	11032469.0
41.flexbar_trim.R_2	3987858.0	11193291.0
47.flexbar_trim.R_1	5325008.0	11947195.0
47.flexbar_trim.R_2	5003646.0	12268557.0
48.flexbar_trim.R_1	4608181.0	14153649.0
48.flexbar_trim.R_2	4251107.0	14510723.0
49.flexbar_trim.R_1	6174008.0	12532790.0
49.flexbar_trim.R_2	6004035.0	12702763.0
5.flexbar_trim.R_1	5485350.0	13054821.0
5.flexbar_trim.R_2	5061748.0	13478423.0
50.flexbar_trim.R_1	6144751.0	11519674.0
50.flexbar_trim.R_2	5825810.0	11838615.0
57-G.flexbar_trim.R_1	13034169.0	13671236.0
57-G.flexbar_trim.R_2	12339925.0	14365480.0
57-S.flexbar_trim.R_1	4313442.0	7858543.0
57-S.flexbar_trim.R_2	4106503.0	8065482.0
57.flexbar_trim.R_1	6065100.0	12318180.0
57.flexbar_trim.R_2	5815795.0	12567485.0
58-G.flexbar_trim.R_1	13227732.0	14066743.0
58-G.flexbar_trim.R_2	12557835.0	14736640.0
58-S.flexbar_trim.R_1	5698172.0	8854174.0
58-S.flexbar_trim.R_2	5484043.0	9068303.0
58.flexbar_trim.R_1	5728478.0	12576027.0
58.flexbar_trim.R_2	5510850.0	12793655.0
59.flexbar_trim.R_1	5239343.0	12221547.0
59.flexbar_trim.R_2	4962308.0	12498582.0
60.flexbar_trim.R_1	6464613.0	12567951.0
60.flexbar_trim.R_2	6160647.0	12871917.0
67.flexbar_trim.R_1	6863272.0	12318570.0
67.flexbar_trim.R_2	6546049.0	12635793.0
68.flexbar_trim.R_1	6537117.0	12526421.0
68.flexbar_trim.R_2	6318656.0	12744882.0
69.flexbar_trim.R_1	5461278.0	10911322.0
69.flexbar_trim.R_2	5126941.0	11245659.0
70.flexbar_trim.R_1	4786739.0	9521292.0
70.flexbar_trim.R_2	4531926.0	9776105.0
78.flexbar_trim.R_1	4769348.0	12192039.0
78.flexbar_trim.R_2	4409318.0	12552069.0
79.flexbar_trim.R_1	5268895.0	12387780.0
79.flexbar_trim.R_2	4851664.0	12805011.0
80.flexbar_trim.R_1	4434925.0	9269840.0
80.flexbar_trim.R_2	4250453.0	9454312.0
83.flexbar_trim.R_1	4260386.0	11176873.0
83.flexbar_trim.R_2	3987573.0	11449686.0
88.flexbar_trim.R_1	4273986.0	14462069.0
88.flexbar_trim.R_2	3940000.0	14796055.0
90.flexbar_trim.R_1	4499775.0	12503674.0
90.flexbar_trim.R_2	4129150.0	12874299.0
91.flexbar_trim.R_1	5837300.0	12994738.0
91.flexbar_trim.R_2	5539412.0	13292626.0
97.flexbar_trim.R_1	4107583.0	12719103.0
97.flexbar_trim.R_2	3878637.0	12948049.0
98.flexbar_trim.R_1	5142145.0	15610297.0
98.flexbar_trim.R_2	4754927.0	15997515.0
99.flexbar_trim.R_1	4960929.0	10677807.0
99.flexbar_trim.R_2	4653709.0	10985027.0
RESUB-116.flexbar_trim.R_1	5320033.0	9511858.0
RESUB-116.flexbar_trim.R_2	5064463.0	9767428.0
RESUB-156.flexbar_trim.R_1	5500814.0	9797878.0
RESUB-156.flexbar_trim.R_2	5150982.0	10147710.0
RESUB-36.flexbar_trim.R_1	4323694.0	9652959.0
RESUB-36.flexbar_trim.R_2	3951812.0	10024841.0
RESUB-76.flexbar_trim.R_1	4576438.0	9188591.0
RESUB-76.flexbar_trim.R_2	4270103.0	9494926.0
RESUB-94.flexbar_trim.R_1	5695461.0	9928069.0
RESUB-94.flexbar_trim.R_2	5323136.0	10300394.0
