Sample	Top over-represented sequence	Sum of remaining over-represented sequences
1.flexbar_trim.R_1	0.3610224091492197	0.12027503751923518
1.flexbar_trim.R_2	0.776822446321921	0.10344917948394694
10.flexbar_trim.R_1	0.756459425137296	0.6808438764702889
10.flexbar_trim.R_2	1.3093614893245413	0.336134234858247
100.flexbar_trim.R_1	0.22329640070743018	0.7223975223679105
100.flexbar_trim.R_2	1.01518477714371	0.6305543051201623
107.flexbar_trim.R_1	0.3461053931980098	0.9855509203614294
107.flexbar_trim.R_2	1.4644937339368391	0.8182639223701818
108.flexbar_trim.R_1	0.5165463890506892	1.7641145095035349
108.flexbar_trim.R_2	2.115134697897085	0.32649091779616857
109.flexbar_trim.R_1	1.3213082619961958	0.5800356805061553
109.flexbar_trim.R_2	2.175248739509463	0.7099950327593971
11.flexbar_trim.R_1	0.3145522731627684	0.3018855716564512
11.flexbar_trim.R_2	0.7412434271266496	0.46118240796733045
110.flexbar_trim.R_1	0.45837186828536647	0.10813477121882153
110.flexbar_trim.R_2	0.9322887715047211	1.0952596111563748
117.flexbar_trim.R_1	0.6749426607747071	0.3548578996802194
117.flexbar_trim.R_2	1.1926578173969888	0.40166306566884513
118.flexbar_trim.R_1	0.47035930337645837	0.0
118.flexbar_trim.R_2	1.0557691681389991	0.37822318658861254
119.flexbar_trim.R_1	0.45918562695201753	0.0
119.flexbar_trim.R_2	0.9938058424429482	1.0165005125732791
12.flexbar_trim.R_1	0.25417941364663593	0.2827682916941378
12.flexbar_trim.R_2	0.5903236659377378	0.31370273714193486
120.flexbar_trim.R_1	0.5658714041027155	0.32264160865763025
120.flexbar_trim.R_2	1.0819444650453698	0.22775922080996103
121.flexbar_trim.R_1	1.0238123319923405	0.45696026481992913
121.flexbar_trim.R_2	1.71841079748037	0.42781799228555006
127.flexbar_trim.R_1	0.6977138554175453	0.1280866114269188
127.flexbar_trim.R_2	1.2920949473459393	0.2963953612544761
128.flexbar_trim.R_1	0.526276752517533	0.39711568830656774
128.flexbar_trim.R_2	1.2857990363865384	0.3940653980099049
129.flexbar_trim.R_1	11.31894215366797	5.330085430276322
129.flexbar_trim.R_2	17.7797647480127	0.49647813303370114
13.flexbar_trim.R_1	0.6108124136634193	0.8341715666066377
13.flexbar_trim.R_2	1.001413207779152	0.4804096422139772
131.flexbar_trim.R_1	1.1286241766714762	0.6193035256716124
131.flexbar_trim.R_2	2.1109685187374447	0.4850475041507676
137.flexbar_trim.R_1	1.2472246120991448	0.42496317706104625
137.flexbar_trim.R_2	2.2994749488205466	0.48319149131641126
138.flexbar_trim.R_1	0.9249981742127066	0.5976831580535412
138.flexbar_trim.R_2	1.844967536364755	1.1893014171394547
139.flexbar_trim.R_1	0.5648562637300302	0.714582006586426
139.flexbar_trim.R_2	1.2175492663505074	0.8345487332142976
140.flexbar_trim.R_1	0.6546641329642193	0.5643184706637134
140.flexbar_trim.R_2	1.478863432805117	0.480189512262279
147.flexbar_trim.R_1	1.064536660768117	0.7011015820555495
147.flexbar_trim.R_2	2.0158879219128725	0.17234268622182514
148.flexbar_trim.R_1	0.527006129286874	0.42832189453630876
148.flexbar_trim.R_2	1.1591249821689573	0.13868468353186203
149.flexbar_trim.R_1	3.6313889750404913	2.4275487256788466
149.flexbar_trim.R_2	6.639872962514604	0.12889280183908625
150.flexbar_trim.R_1	0.9174342504734941	0.9868433306367274
150.flexbar_trim.R_2	1.8238146510526232	0.646616888659264
18.flexbar_trim.R_1	0.48559049465062276	0.5599269101749992
18.flexbar_trim.R_2	0.7966462366344086	0.5364144251541675
19-G.flexbar_trim.R_1	0.25624903180170244	0.13970760270242855
19-G.flexbar_trim.R_2	0.8564331565306775	0.22421731461367211
19-S.flexbar_trim.R_1	0.15093762104151062	0.0
19-S.flexbar_trim.R_2	0.6843742193477522	0.10044522317300952
19.flexbar_trim.R_1	0.8405490397475966	0.2478239329584263
19.flexbar_trim.R_2	1.2484260545749768	0.4547213796671785
2.flexbar_trim.R_1	0.3676489101513333	0.0
2.flexbar_trim.R_2	0.8043021200581766	0.8067432969988411
20-G.flexbar_trim.R_1	0.18125553873636133	0.10532766958595566
20-G.flexbar_trim.R_2	0.7132738623162713	0.10580618778592576
20-S.flexbar_trim.R_1	0.11025120882155853	0.10771257260564837
20-S.flexbar_trim.R_2	0.7965313745416422	0.0
20.flexbar_trim.R_1	1.9407107238763746	0.6615105314786787
20.flexbar_trim.R_2	2.549618747199606	0.30117648995949464
21.flexbar_trim.R_1	0.5875313954316569	0.7117491095961178
21.flexbar_trim.R_2	0.9599438298433336	0.5231018655616972
28.flexbar_trim.R_1	1.0122605052087925	0.14478227540685573
28.flexbar_trim.R_2	1.4315530500889802	0.0
29.flexbar_trim.R_1	0.5032224508704689	0.6998414521001998
29.flexbar_trim.R_2	0.9075911211580316	0.19807801350008103
3.flexbar_trim.R_1	0.5585937363234181	0.5491770626761152
3.flexbar_trim.R_2	1.0370307817056712	0.7875307354845398
30.flexbar_trim.R_1	0.3895592541499573	0.41561705601971577
30.flexbar_trim.R_2	0.7666919430600672	0.14064267156609778
31.flexbar_trim.R_1	0.2676673180258288	0.23070255393120714
31.flexbar_trim.R_2	0.7376027560639251	1.4793465586549344
37.flexbar_trim.R_1	0.5805364037760189	0.3610016411312521
37.flexbar_trim.R_2	0.9047477344568811	0.4470665631709574
38.flexbar_trim.R_1	2.947224319227546	1.044258757484577
38.flexbar_trim.R_2	3.8005425975594678	0.5522182500920545
39.flexbar_trim.R_1	0.7156778158536348	0.46922698298197973
39.flexbar_trim.R_2	1.0626569138541642	0.5223821128263835
4.flexbar_trim.R_1	0.4371898679071702	0.24989770998403515
4.flexbar_trim.R_2	0.9683369142337874	0.3953174235185122
40.flexbar_trim.R_1	3.9428652097577794	1.5813960261236124
40.flexbar_trim.R_2	5.156476287596863	0.9192207502849019
41.flexbar_trim.R_1	6.411490987935103	1.6752421045337211
41.flexbar_trim.R_2	8.117587147059817	0.8685508586998267
47.flexbar_trim.R_1	0.6642406877686651	0.29657479129906017
47.flexbar_trim.R_2	1.066754484068998	0.25910418028319837
48.flexbar_trim.R_1	2.171312713098882	0.8773024806215592
48.flexbar_trim.R_2	2.9555112694230785	1.3121534519820286
49.flexbar_trim.R_1	0.4721011046358655	0.25762292403007714
49.flexbar_trim.R_2	0.8126350645364322	0.15926295884522834
5.flexbar_trim.R_1	0.6190935347899434	0.9680223553493655
5.flexbar_trim.R_2	1.1430261349800928	0.789189053326423
50.flexbar_trim.R_1	0.36497083828089505	0.1317620018766532
50.flexbar_trim.R_2	0.6854681089251419	0.25092806587250926
57-G.flexbar_trim.R_1	0.17764568633203653	0.1004403415713036
57-G.flexbar_trim.R_2	0.6107827235722506	0.1156994248917026
57-S.flexbar_trim.R_1	3.365317982235436	5.225622607980539
57-S.flexbar_trim.R_2	8.358480560072987	1.5565086549153655
57.flexbar_trim.R_1	0.4826722978706737	0.11623605798312381
57.flexbar_trim.R_2	0.8086315390942204	0.11219978154061738
58-G.flexbar_trim.R_1	0.2138198298373572	0.128113839888842
58-G.flexbar_trim.R_2	0.7770327144962488	0.23230708778974507
58-S.flexbar_trim.R_1	0.9656930916843236	1.5702897663373312
58-S.flexbar_trim.R_2	2.4966489939147953	0.33024228533323763
58.flexbar_trim.R_1	1.0312597909640278	0.3889425034984557
58.flexbar_trim.R_2	1.4575865340253669	0.34639013729133894
59.flexbar_trim.R_1	0.9573566983126289	0.12262261545660036
59.flexbar_trim.R_2	1.4531389866152298	0.28567272344078676
60.flexbar_trim.R_1	0.6451679342835784	0.5048715454207849
60.flexbar_trim.R_2	0.9839031672243423	0.3290465751225109
