Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
60.flexbar_trim.R_1	19032564.0	14051122.0	4981442.0	73.82674241894051	220.281
67.flexbar_trim.R_1	19181842.0	14589750.0	4592092.0	76.06021361243617	235.716
68.flexbar_trim.R_1	19063538.0	14013569.0	5049969.0	73.50980180069408	220.034
69.flexbar_trim.R_1	16372600.0	12280782.0	4091818.0	75.00813554353005	216.389
70.flexbar_trim.R_1	14308031.0	10631791.0	3676240.0	74.30645768100447	205.191
78.flexbar_trim.R_1	16961387.0	13063729.0	3897658.0	77.02040522983174	193.424
79.flexbar_trim.R_1	17656675.0	14095169.0	3561506.0	79.8291241131187	224.787
80.flexbar_trim.R_1	13704765.0	10266611.0	3438154.0	74.91271101693462	211.207
83.flexbar_trim.R_1	15437259.0	12326230.0	3111029.0	79.84727081407392	217.892
88.flexbar_trim.R_1	18736055.0	11977700.0	6758355.0	63.92861250674168	198.925
90.flexbar_trim.R_1	17003449.0	12166785.0	4836664.0	71.55480632194092	203.186
91.flexbar_trim.R_1	18832038.0	14319338.0	4512700.0	76.03711292426236	228.082
92.flexbar_trim.R_1	13977590.0	10509776.0	3467814.0	75.19018657722827	243.332
97.flexbar_trim.R_1	16826686.0	13257213.0	3569473.0	78.78683301037411	197.755
98.flexbar_trim.R_1	20752442.0	14541845.0	6210597.0	70.0729340672293	213.809
99.flexbar_trim.R_1	15638736.0	11343150.0	4295586.0	72.53239648012475	217.733
RESUB-116.flexbar_trim.R_1	14831891.0	11671111.0	3160780.0	78.68929862011527	234.681
RESUB-156.flexbar_trim.R_1	15298692.0	12436551.0	2862141.0	81.29159669336438	233.179
RESUB-36.flexbar_trim.R_1	13976653.0	11584222.0	2392431.0	82.88266153563374	232.622
RESUB-76.flexbar_trim.R_1	13765029.0	10480729.0	3284300.0	76.14026094678043	206.427
RESUB-94.flexbar_trim.R_1	15623530.0	12461655.0	3161875.0	79.76209601799337	234.145
