Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
1.flexbar_trim.R_1	19767194.0	15329446.0	4437748.0	77.5499345025905	228.479
10.flexbar_trim.R_1	18424782.0	13585621.0	4839161.0	73.7355861252524	215.453
100.flexbar_trim.R_1	16723064.0	13372634.0	3350430.0	79.96521450853743	230.237
107.flexbar_trim.R_1	15904404.0	12687482.0	3216922.0	79.77338855325858	236.77
108.flexbar_trim.R_1	21023862.0	14578997.0	6444865.0	69.34499950579965	202.421
109.flexbar_trim.R_1	20663384.0	16278522.0	4384862.0	78.77955517837736	235.23
11.flexbar_trim.R_1	20092050.0	15964442.0	4127608.0	79.45651140625272	231.367
110.flexbar_trim.R_1	19839132.0	16334802.0	3504330.0	82.336273582937	239.632
117.flexbar_trim.R_1	20711389.0	16275446.0	4435943.0	78.58210765101269	216.847
118.flexbar_trim.R_1	19651360.0	16075465.0	3575895.0	81.80332048265362	240.369
119.flexbar_trim.R_1	20841898.0	17633383.0	3208515.0	84.60545675830483	241.821
12.flexbar_trim.R_1	19227757.0	14609995.0	4617762.0	75.98387581037144	215.529
120.flexbar_trim.R_1	19281766.0	15315294.0	3966472.0	79.42889670997978	232.711
121.flexbar_trim.R_1	19933243.0	14562356.0	5370887.0	73.05562873035763	235.161
127.flexbar_trim.R_1	21818830.0	17029197.0	4789633.0	78.04816756902181	234.271
128.flexbar_trim.R_1	9343373.0	7029183.0	2314190.0	75.2317498188288	272.146
129.flexbar_trim.R_1	8824155.0	3340191.0	5483964.0	37.8528142354707	223.28
13.flexbar_trim.R_1	17283375.0	12331135.0	4952240.0	71.34680003182248	229.373
131.flexbar_trim.R_1	8424948.0	6174263.0	2250685.0	73.28547309728202	248.824
137.flexbar_trim.R_1	7728199.0	5926977.0	1801222.0	76.69286207562719	261.493
138.flexbar_trim.R_1	7914394.0	6224011.0	1690383.0	78.64166226750905	272.372
139.flexbar_trim.R_1	9025836.0	7147637.0	1878199.0	79.19085833157172	267.763
140.flexbar_trim.R_1	8847132.0	6838469.0	2008663.0	77.29588526541708	279.056
147.flexbar_trim.R_1	8149461.0	6175205.0	1974256.0	75.77439784054431	243.727
148.flexbar_trim.R_1	23084741.0	16585856.0	6498885.0	71.84770234155974	190.194
149.flexbar_trim.R_1	89957700.0	52815247.0	37142453.0	58.71120204273787	204.289
150.flexbar_trim.R_1	25502427.0	17902457.0	7599970.0	70.19903242934487	191.208
18.flexbar_trim.R_1	16557161.0	12153389.0	4403772.0	73.4026141317343	226.613
19-G.flexbar_trim.R_1	21250812.0	15211556.0	6039256.0	71.58105770264214	226.016
19-S.flexbar_trim.R_1	22425158.0	17321135.0	5104023.0	77.23974564638519	231.518
19.flexbar_trim.R_1	16644478.0	12898838.0	3745640.0	77.49620024130526	233.8
2.flexbar_trim.R_1	18269876.0	14994161.0	3275715.0	82.07040376190841	235.759
20-G.flexbar_trim.R_1	22360696.0	16149419.0	6211277.0	72.22234495741992	231.839
20-S.flexbar_trim.R_1	15323188.0	11471703.0	3851485.0	74.86498893050194	237.571
20.flexbar_trim.R_1	16033456.0	11524428.0	4509028.0	71.87737939967528	223.771
21.flexbar_trim.R_1	16202198.0	12013440.0	4188758.0	74.14697684844982	232.307
28.flexbar_trim.R_1	17689320.0	13647015.0	4042305.0	77.1483301788876	229.532
29.flexbar_trim.R_1	17546117.0	12302627.0	5243490.0	70.11595215055274	227.591
3.flexbar_trim.R_1	19136269.0	14160013.0	4976256.0	73.99568327556433	213.584
30.flexbar_trim.R_1	18428262.0	13989356.0	4438906.0	75.91250873251096	233.72
31.flexbar_trim.R_1	17724988.0	14279089.0	3445899.0	80.55908980023004	265.369
37.flexbar_trim.R_1	15243144.0	11984725.0	3258419.0	78.62370781250902	205.573
38.flexbar_trim.R_1	17036199.0	12432012.0	4604187.0	72.9740947496563	196.149
39.flexbar_trim.R_1	16828103.0	12807742.0	4020361.0	76.10924416138883	208.185
4.flexbar_trim.R_1	19447157.0	14729138.0	4718019.0	75.73928672453253	269.97
40.flexbar_trim.R_1	15520211.0	10983404.0	4536807.0	70.76839354825782	193.68
41.flexbar_trim.R_1	15181149.0	9780138.0	5401011.0	64.42291028169211	195.377
47.flexbar_trim.R_1	17272203.0	13265351.0	4006852.0	76.80173166098152	210.611
48.flexbar_trim.R_1	18761830.0	14360078.0	4401752.0	76.53879179163226	208.208
49.flexbar_trim.R_1	18706798.0	13751486.0	4955312.0	73.5106350108661	214.107
5.flexbar_trim.R_1	18540171.0	14109934.0	4430237.0	76.10465944461893	225.063
50.flexbar_trim.R_1	17664425.0	13281219.0	4383206.0	75.18625146303941	230.502
57-G.flexbar_trim.R_1	26705405.0	20490067.0	6215338.0	76.7262919247995	228.47
57-S.flexbar_trim.R_1	12171985.0	4891625.0	7280360.0	40.18757006355167	171.075
57.flexbar_trim.R_1	18383280.0	14631025.0	3752255.0	79.58876217954575	213.875
58-G.flexbar_trim.R_1	27294475.0	20607936.0	6686539.0	75.50222526720151	229.029
58-S.flexbar_trim.R_1	14552346.0	10062455.0	4489891.0	69.14661732204553	183.081
58.flexbar_trim.R_1	18304505.0	12138968.0	6165537.0	66.31683293265783	211.094
59.flexbar_trim.R_1	17460890.0	13861792.0	3599098.0	79.38766007918268	270.543
