Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads
1.flexbar_trim.R_1	228.479	77.5499345025905	15329446.0
10.flexbar_trim.R_1	215.453	73.7355861252524	13585621.0
100.flexbar_trim.R_1	230.237	79.96521450853743	13372634.0
107.flexbar_trim.R_1	236.77	79.77338855325858	12687482.0
108.flexbar_trim.R_1	202.421	69.34499950579965	14578997.0
109.flexbar_trim.R_1	235.23	78.77955517837736	16278522.0
11.flexbar_trim.R_1	231.367	79.45651140625272	15964442.0
110.flexbar_trim.R_1	239.632	82.336273582937	16334802.0
117.flexbar_trim.R_1	216.847	78.58210765101269	16275446.0
118.flexbar_trim.R_1	240.369	81.80332048265362	16075465.0
119.flexbar_trim.R_1	241.821	84.60545675830483	17633383.0
12.flexbar_trim.R_1	215.529	75.98387581037144	14609995.0
120.flexbar_trim.R_1	232.711	79.42889670997978	15315294.0
121.flexbar_trim.R_1	235.161	73.05562873035763	14562356.0
127.flexbar_trim.R_1	234.271	78.04816756902181	17029197.0
128.flexbar_trim.R_1	272.146	75.2317498188288	7029183.0
129.flexbar_trim.R_1	223.28	37.8528142354707	3340191.0
13.flexbar_trim.R_1	229.373	71.34680003182248	12331135.0
131.flexbar_trim.R_1	248.824	73.28547309728202	6174263.0
137.flexbar_trim.R_1	261.493	76.69286207562719	5926977.0
138.flexbar_trim.R_1	272.372	78.64166226750905	6224011.0
139.flexbar_trim.R_1	267.763	79.19085833157172	7147637.0
140.flexbar_trim.R_1	279.056	77.29588526541708	6838469.0
147.flexbar_trim.R_1	243.727	75.77439784054431	6175205.0
148.flexbar_trim.R_1	190.194	71.84770234155974	16585856.0
149.flexbar_trim.R_1	204.289	58.71120204273787	52815247.0
150.flexbar_trim.R_1	191.208	70.19903242934487	17902457.0
18.flexbar_trim.R_1	226.613	73.4026141317343	12153389.0
19-G.flexbar_trim.R_1	226.016	71.58105770264214	15211556.0
19-S.flexbar_trim.R_1	231.518	77.23974564638519	17321135.0
19.flexbar_trim.R_1	233.8	77.49620024130526	12898838.0
2.flexbar_trim.R_1	235.759	82.07040376190841	14994161.0
20-G.flexbar_trim.R_1	231.839	72.22234495741992	16149419.0
20-S.flexbar_trim.R_1	237.571	74.86498893050194	11471703.0
20.flexbar_trim.R_1	223.771	71.87737939967528	11524428.0
21.flexbar_trim.R_1	232.307	74.14697684844982	12013440.0
28.flexbar_trim.R_1	229.532	77.1483301788876	13647015.0
29.flexbar_trim.R_1	227.591	70.11595215055274	12302627.0
3.flexbar_trim.R_1	213.584	73.99568327556433	14160013.0
30.flexbar_trim.R_1	233.72	75.91250873251096	13989356.0
31.flexbar_trim.R_1	265.369	80.55908980023004	14279089.0
37.flexbar_trim.R_1	205.573	78.62370781250902	11984725.0
38.flexbar_trim.R_1	196.149	72.9740947496563	12432012.0
39.flexbar_trim.R_1	208.185	76.10924416138883	12807742.0
4.flexbar_trim.R_1	269.97	75.73928672453253	14729138.0
40.flexbar_trim.R_1	193.68	70.76839354825782	10983404.0
41.flexbar_trim.R_1	195.377	64.42291028169211	9780138.0
47.flexbar_trim.R_1	210.611	76.80173166098152	13265351.0
48.flexbar_trim.R_1	208.208	76.53879179163226	14360078.0
49.flexbar_trim.R_1	214.107	73.5106350108661	13751486.0
5.flexbar_trim.R_1	225.063	76.10465944461893	14109934.0
50.flexbar_trim.R_1	230.502	75.18625146303941	13281219.0
57-G.flexbar_trim.R_1	228.47	76.7262919247995	20490067.0
57-S.flexbar_trim.R_1	171.075	40.18757006355167	4891625.0
57.flexbar_trim.R_1	213.875	79.58876217954575	14631025.0
58-G.flexbar_trim.R_1	229.029	75.50222526720151	20607936.0
58-S.flexbar_trim.R_1	183.081	69.14661732204553	10062455.0
58.flexbar_trim.R_1	211.094	66.31683293265783	12138968.0
59.flexbar_trim.R_1	270.543	79.38766007918268	13861792.0
60.flexbar_trim.R_1	220.281	73.82674241894051	14051122.0
67.flexbar_trim.R_1	235.716	76.06021361243617	14589750.0
68.flexbar_trim.R_1	220.034	73.50980180069408	14013569.0
69.flexbar_trim.R_1	216.389	75.00813554353005	12280782.0
70.flexbar_trim.R_1	205.191	74.30645768100447	10631791.0
78.flexbar_trim.R_1	193.424	77.02040522983174	13063729.0
79.flexbar_trim.R_1	224.787	79.8291241131187	14095169.0
80.flexbar_trim.R_1	211.207	74.91271101693462	10266611.0
83.flexbar_trim.R_1	217.892	79.84727081407392	12326230.0
88.flexbar_trim.R_1	198.925	63.92861250674168	11977700.0
90.flexbar_trim.R_1	203.186	71.55480632194092	12166785.0
91.flexbar_trim.R_1	228.082	76.03711292426236	14319338.0
92.flexbar_trim.R_1	243.332	75.19018657722827	10509776.0
97.flexbar_trim.R_1	197.755	78.78683301037411	13257213.0
98.flexbar_trim.R_1	213.809	70.0729340672293	14541845.0
99.flexbar_trim.R_1	217.733	72.53239648012475	11343150.0
RESUB-116.flexbar_trim.R_1	234.681	78.68929862011527	11671111.0
RESUB-156.flexbar_trim.R_1	233.179	81.29159669336438	12436551.0
RESUB-36.flexbar_trim.R_1	232.622	82.88266153563374	11584222.0
RESUB-76.flexbar_trim.R_1	206.427	76.14026094678043	10480729.0
RESUB-94.flexbar_trim.R_1	234.145	79.76209601799337	12461655.0
