Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1.flexbar_trim.R_1	1.flexbar_trim.R_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19767194.0	2.8 Gbp	0.0	18-150	48.0	29.981632601790327	144.37716658216638	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
1.flexbar_trim.R_2	1.flexbar_trim.R_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19767194.0	2.8 Gbp	0.0	18-150	49.0	28.25537368014443	144.51530060361628	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
10.flexbar_trim.R_1	10.flexbar_trim.R_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18424782.0	2.6 Gbp	0.0	18-150	46.0	31.00016269295332	143.42306204762693	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
10.flexbar_trim.R_2	10.flexbar_trim.R_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18424782.0	2.6 Gbp	0.0	18-150	48.0	29.106729507800637	143.6227380058011	150	pass	pass	fail	pass	warn	pass	pass	warn	fail	fail	pass
100.flexbar_trim.R_1	100.flexbar_trim.R_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16723064.0	2.3 Gbp	0.0	18-150	48.0	31.186097637919442	143.0574301455762	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
100.flexbar_trim.R_2	100.flexbar_trim.R_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16723064.0	2.3 Gbp	0.0	18-150	50.0	28.862349993292096	143.2372108364831	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
107.flexbar_trim.R_1	107.flexbar_trim.R_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15904404.0	2.2 Gbp	0.0	18-150	48.0	27.5268342276074	143.33896278037201	150	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
107.flexbar_trim.R_2	107.flexbar_trim.R_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15904404.0	2.2 Gbp	0.0	18-150	50.0	25.48762572804297	143.49010072933257	150	pass	pass	warn	pass	warn	warn	pass	warn	fail	fail	pass
108.flexbar_trim.R_1	108.flexbar_trim.R_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21023862.0	2.9 Gbp	0.0	18-150	46.0	31.821510053227048	140.33278367219114	150	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
108.flexbar_trim.R_2	108.flexbar_trim.R_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21023862.0	2.9 Gbp	0.0	18-150	48.0	29.751314705295012	140.64578653531876	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	fail	pass
109.flexbar_trim.R_1	109.flexbar_trim.R_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20663384.0	2.9 Gbp	0.0	18-150	48.0	26.798397360373173	144.1229994564298	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	fail	pass
109.flexbar_trim.R_2	109.flexbar_trim.R_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20663384.0	2.9 Gbp	0.0	18-150	50.0	25.037445379856045	144.2374209374418	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	fail	pass
