Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
100_R1_001	17927211.0	14212043.0	3715168.0	79.27637489177765	230.632
107_R1_001	17068605.0	13512564.0	3556041.0	79.16618844949544	237.015
108_R1_001	22634852.0	15556337.0	7078515.0	68.72736344819043	202.897
109_R1_001	22210202.0	17371065.0	4839137.0	78.21209820604062	234.671
10_R1_001	19775884.0	14453561.0	5322323.0	73.08680107549175	216.695
110_R1_001	21306024.0	17358777.0	3947247.0	81.4735635330177	239.726
117_R1_001	22489339.0	17321515.0	5167824.0	77.0210053750357	217.995
118_R1_001	21224498.0	17140478.0	4084020.0	80.7579901300846	238.857
119_R1_001	22447450.0	18806226.0	3641224.0	83.77889693484116	241.074
11_R1_001	21594327.0	16991406.0	4602921.0	78.68458229793409	231.758
120_R1_001	20779302.0	16280695.0	4498607.0	78.3505384348329	232.656
121_R1_001	21456291.0	15535798.0	5920493.0	72.4067267730476	236.076
127_R1_001	23530739.0	18166178.0	5364561.0	77.20190173372795	233.804
128_R1_001	10043842.0	7459690.0	2584152.0	74.27127985486031	267.928
129_R1_001	9630425.0	3612671.0	6017754.0	37.51310040834127	222.563
12_R1_001	20685298.0	15580231.0	5105067.0	75.32031203998125	216.316
131_R1_001	9145953.0	6549212.0	2596741.0	71.60775919141504	247.949
137_R1_001	8306103.0	6300190.0	2005913.0	75.85013092180533	261.661
138_R1_001	8479903.0	6608824.0	1871079.0	77.93513675805018	270.737
139_R1_001	9694605.0	7572429.0	2122176.0	78.10972185045188	258.806
13_R1_001	18576658.0	13139138.0	5437520.0	70.72928833593211	229.745
140_R1_001	9543338.0	7242973.0	2300365.0	75.89559334480242	272.222
147_R1_001	8789658.0	6569377.0	2220281.0	74.73984767097878	241.019
148_R1_001	24830839.0	17725589.0	7105250.0	71.38538089671476	190.603
149_R1_001	96920347.0	56517887.0	40402460.0	58.31374809254449	203.68
150_R1_001	27537784.0	19064429.0	8473355.0	69.23007675563146	190.787
18_R1_001	17735900.0	12892782.0	4843118.0	72.69313651971426	228.799
19-G_R1_001	22950492.0	16221391.0	6729101.0	70.67992703598685	226.799
19-S_R1_001	24790925.0	18413442.0	6377483.0	74.27492923317706	232.036
19_R1_001	17849441.0	13739519.0	4109922.0	76.97450581225485	235.18
1_R1_001	21254741.0	16362858.0	4891883.0	76.98450900907238	228.856
20-G_R1_001	24302629.0	17190680.0	7111949.0	70.73588622860515	234.612
20-S_R1_001	16570250.0	12228375.0	4341875.0	73.7971666088321	238.738
20_R1_001	17220964.0	12288842.0	4932122.0	71.3597798590137	225.398
21_R1_001	17405352.0	12800695.0	4604657.0	73.54459134178958	233.492
28_R1_001	19005042.0	14500628.0	4504414.0	76.29884743217089	231.523
29_R1_001	18870941.0	13065969.0	5804972.0	69.2385663226863	229.598
2_R1_001	19610239.0	15926965.0	3683274.0	81.21759760296649	235.057
30_R1_001	19855818.0	14887509.0	4968309.0	74.97806940011235	235.319
31_R1_001	19015313.0	15217245.0	3798068.0	80.02626619924689	265.352
37_R1_001	16337076.0	12765410.0	3571666.0	78.13766674036407	205.827
38_R1_001	18364073.0	13275306.0	5088767.0	72.28955145190285	197.149
39_R1_001	18096796.0	13691154.0	4405642.0	75.65512701806442	209.683
3_R1_001	20708580.0	15057385.0	5651195.0	72.71085221681062	214.423
40_R1_001	16717895.0	11751492.0	4966403.0	70.29289273559858	194.67
41_R1_001	16333017.0	10434710.0	5898307.0	63.887216917731735	196.495
47_R1_001	18589538.0	14137898.0	4451640.0	76.05298205904847	211.918
48_R1_001	20220755.0	15351708.0	4869047.0	75.92054797162618	208.584
49_R1_001	20163020.0	14686045.0	5476975.0	72.83653440804007	215.047
4_R1_001	20853504.0	15696569.0	5156935.0	75.2706547542322	270.669
50_R1_001	18940766.0	14112103.0	4828663.0	74.50650623105739	232.256
57-G_R1_001	28920475.0	21774746.0	7145729.0	75.29179932210657	227.707
57-S_R1_001	13188766.0	5209376.0	7979390.0	39.498585386987685	170.057
57_R1_001	19882254.0	15582456.0	4299798.0	78.37368942173256	214.678
58-G_R1_001	29409480.0	21928928.0	7480552.0	74.5641473429656	229.359
58-S_R1_001	15714480.0	10761980.0	4952500.0	68.48448055551313	183.844
58_R1_001	19721127.0	12973933.0	6747194.0	65.78697556179219	210.365
59_R1_001	18709344.0	14782636.0	3926708.0	79.01204873885477	273.597
5_R1_001	19920216.0	15044938.0	4875278.0	75.52597823236454	225.835
60_R1_001	20463165.0	14952352.0	5510813.0	73.06959602778944	221.395
67_R1_001	20642249.0	15529009.0	5113240.0	75.2292494873015	237.431
68_R1_001	20548276.0	14942793.0	5605483.0	72.720421898168	220.726
69_R1_001	17626565.0	13114070.0	4512495.0	74.39946467164759	217.042
70_R1_001	15325434.0	11293646.0	4031788.0	73.69217733083448	206.608
78_R1_001	18296609.0	13919835.0	4376774.0	76.07876956872173	194.684
79_R1_001	18994723.0	15033952.0	3960771.0	79.14804548610685	226.097
80_R1_001	14758655.0	10947010.0	3811645.0	74.17349345180845	211.922
83_R1_001	16560429.0	13120551.0	3439878.0	79.22832796179374	218.092
88_R1_001	20182056.0	12782339.0	7399717.0	63.335167636042634	199.354
90_R1_001	18289278.0	12978957.0	5310321.0	70.9648407115907	204.928
91_R1_001	20245537.0	15269759.0	4975778.0	75.4228401054514	228.46
97_R1_001	18140324.0	14152574.0	3987750.0	78.01720630789174	197.964
98_R1_001	22320535.0	15545764.0	6774771.0	69.64781086116439	213.376
99_R1_001	16819212.0	12100640.0	4718572.0	71.94534440733608	217.879
RESUB-116_R1_001	15996427.0	12398935.0	3597492.0	77.51065284766405	236.199
RESUB-156_R1_001	16637284.0	13197373.0	3439911.0	79.32408318569306	233.866
RESUB-36_R1_001	15030980.0	12354463.0	2676517.0	82.19333004235253	233.327
RESUB-76_R1_001	14838119.0	11198736.0	3639383.0	75.47274691623649	206.24
RESUB-94_R1_001	16934870.0	13261635.0	3673235.0	78.30963568069905	235.437
