Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads
100_R1_001	230.632	79.27637489177765	14212043.0
107_R1_001	237.015	79.16618844949544	13512564.0
108_R1_001	202.897	68.72736344819043	15556337.0
109_R1_001	234.671	78.21209820604062	17371065.0
10_R1_001	216.695	73.08680107549175	14453561.0
110_R1_001	239.726	81.4735635330177	17358777.0
117_R1_001	217.995	77.0210053750357	17321515.0
118_R1_001	238.857	80.7579901300846	17140478.0
119_R1_001	241.074	83.77889693484116	18806226.0
11_R1_001	231.758	78.68458229793409	16991406.0
120_R1_001	232.656	78.3505384348329	16280695.0
121_R1_001	236.076	72.4067267730476	15535798.0
127_R1_001	233.804	77.20190173372795	18166178.0
128_R1_001	267.928	74.27127985486031	7459690.0
129_R1_001	222.563	37.51310040834127	3612671.0
12_R1_001	216.316	75.32031203998125	15580231.0
131_R1_001	247.949	71.60775919141504	6549212.0
137_R1_001	261.661	75.85013092180533	6300190.0
138_R1_001	270.737	77.93513675805018	6608824.0
139_R1_001	258.806	78.10972185045188	7572429.0
13_R1_001	229.745	70.72928833593211	13139138.0
140_R1_001	272.222	75.89559334480242	7242973.0
147_R1_001	241.019	74.73984767097878	6569377.0
148_R1_001	190.603	71.38538089671476	17725589.0
149_R1_001	203.68	58.31374809254449	56517887.0
150_R1_001	190.787	69.23007675563146	19064429.0
18_R1_001	228.799	72.69313651971426	12892782.0
19-G_R1_001	226.799	70.67992703598685	16221391.0
19-S_R1_001	232.036	74.27492923317706	18413442.0
19_R1_001	235.18	76.97450581225485	13739519.0
1_R1_001	228.856	76.98450900907238	16362858.0
20-G_R1_001	234.612	70.73588622860515	17190680.0
20-S_R1_001	238.738	73.7971666088321	12228375.0
20_R1_001	225.398	71.3597798590137	12288842.0
21_R1_001	233.492	73.54459134178958	12800695.0
28_R1_001	231.523	76.29884743217089	14500628.0
29_R1_001	229.598	69.2385663226863	13065969.0
2_R1_001	235.057	81.21759760296649	15926965.0
30_R1_001	235.319	74.97806940011235	14887509.0
31_R1_001	265.352	80.02626619924689	15217245.0
37_R1_001	205.827	78.13766674036407	12765410.0
38_R1_001	197.149	72.28955145190285	13275306.0
39_R1_001	209.683	75.65512701806442	13691154.0
3_R1_001	214.423	72.71085221681062	15057385.0
40_R1_001	194.67	70.29289273559858	11751492.0
41_R1_001	196.495	63.887216917731735	10434710.0
47_R1_001	211.918	76.05298205904847	14137898.0
48_R1_001	208.584	75.92054797162618	15351708.0
49_R1_001	215.047	72.83653440804007	14686045.0
4_R1_001	270.669	75.2706547542322	15696569.0
50_R1_001	232.256	74.50650623105739	14112103.0
57-G_R1_001	227.707	75.29179932210657	21774746.0
57-S_R1_001	170.057	39.498585386987685	5209376.0
57_R1_001	214.678	78.37368942173256	15582456.0
58-G_R1_001	229.359	74.5641473429656	21928928.0
58-S_R1_001	183.844	68.48448055551313	10761980.0
58_R1_001	210.365	65.78697556179219	12973933.0
59_R1_001	273.597	79.01204873885477	14782636.0
5_R1_001	225.835	75.52597823236454	15044938.0
60_R1_001	221.395	73.06959602778944	14952352.0
67_R1_001	237.431	75.2292494873015	15529009.0
68_R1_001	220.726	72.720421898168	14942793.0
69_R1_001	217.042	74.39946467164759	13114070.0
70_R1_001	206.608	73.69217733083448	11293646.0
78_R1_001	194.684	76.07876956872173	13919835.0
79_R1_001	226.097	79.14804548610685	15033952.0
80_R1_001	211.922	74.17349345180845	10947010.0
83_R1_001	218.092	79.22832796179374	13120551.0
88_R1_001	199.354	63.335167636042634	12782339.0
90_R1_001	204.928	70.9648407115907	12978957.0
91_R1_001	228.46	75.4228401054514	15269759.0
97_R1_001	197.964	78.01720630789174	14152574.0
98_R1_001	213.376	69.64781086116439	15545764.0
99_R1_001	217.879	71.94534440733608	12100640.0
RESUB-116_R1_001	236.199	77.51065284766405	12398935.0
RESUB-156_R1_001	233.866	79.32408318569306	13197373.0
RESUB-36_R1_001	233.327	82.19333004235253	12354463.0
RESUB-76_R1_001	206.24	75.47274691623649	11198736.0
RESUB-94_R1_001	235.437	78.30963568069905	13261635.0
